file,sentId,eId,eiId,split,eText,relSourceText,normalization,CT_plus,CT_minus,PR_plus,PR_minus,PS_plus,PS_minus,Uu
AP900816-0139.tml,35,e255,ei1644,train,firing,READER,there will be firing,1,0,0,0,7,0,2
AP900816-0139.tml,36,e103,ei1647,train,engaged,READER,U.S. Air Force fliers have engaged in ``a little cat and mouse'' with Iraqi warplanes,9,0,0,0,1,0,0
AP900816-0139.tml,36,e104,ei1648,train,retreated,READER,Iraqi warplanes retreated when weapons radar locks onto them,9,0,0,1,0,0,0
AP900816-0139.tml,37,e107,ei1650,train,want,READER,they want to play,0,9,0,0,0,0,1
AP900816-0139.tml,39,e115,ei1656,train,say,READER,he said if the weapons included missiles,0,8,1,0,0,0,1
AP900816-0139.tml,59,e171,ei1709,train,decision,READER,there was a decision,0,10,0,0,0,0,0
AP900816-0139.tml,66,e194,ei1733,train,confirmation,READER,there was an independent confirmation of the report by the government-run news agency,0,10,0,0,0,0,0
AP900816-0139.tml,66,e195,ei1736,train,say,READER,the government-run news agency said when the reported attempt occurred,0,10,0,0,0,0,0
APW19980213.1320.tml,5,e29,ei327,train,services,READER,"there is a number of services</strong> between Australia, Indonesia, Thailand and Malaysia",2,2,0,1,0,0,5
APW19980213.1320.tml,6,e31,ei330,train,flights,READER,there are flights to South Korea,1,7,1,0,1,0,0
APW19980213.1380.tml,7,e162,ei320,train,ransom,READER,the kidnappaers got a ransom of dlrs 1 million,0,4,0,1,0,1,4
APW19980213.1380.tml,8,e15,ei323,train,gave,READER,police gave details,0,10,0,0,0,0,0
APW19980213.1380.tml,11,e23,ei332,train,targeted,READER,people are targeted by kidnappers,1,0,0,0,7,0,2
APW19980213.1380.tml,13,e54,ei340,train,common,READER,kidnappings has been common in this U.S. commonwealth,0,9,0,1,0,0,0
APW19980219.0476.tml,6,e7,ei2460,train,killed,READER,a British mine removal expert got killed by Khmer Rouge guerrillas almost two years ago,3,0,5,0,1,0,1
APW19980219.0476.tml,15,e42,ei2489,train,continue,READER,the speaker and his people will continue to do everything they can,7,0,1,0,2,0,0
APW19980219.0476.tml,19,e83,ei2513,train,sent,READER,the remains will be sent across the border into Thailand and onward to Bangkok,4,0,4,0,2,0,0
APW19980227.0468.tml,5,e1,ei104,train,allocated,READER,the mayor of Moscow allocated funds to help build a museum in honor of Mikhail Kalashnikov,10,0,0,0,0,0,0
APW19980227.0476.tml,6,e4,ei2096,train,blowing,READER,the two Libyans blew up a Pan Am jumbo jet over Scotland in 1988,0,0,6,0,3,0,1
APW19980227.0476.tml,6,e1997,ei2094,train,trial,READER,the trial of the two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988 happened,0,10,0,0,0,0,0
APW19980227.0476.tml,7,e10,ei2102,train,press,READER,it will press anew for a trial in a third neutral country,5,0,5,0,0,0,0
APW19980227.0487.tml,11,e44,ei426,train,serious,READER,Amir was serious,0,0,0,2,0,1,7
APW19980227.0489.tml,8,e19,ei2071,train,look,READER,the panel also will look at the exodus,7,0,3,0,0,0,0
APW19980227.0494.tml,5,e3,ei2308,train,resolved,READER,Presidents Leonid Kuchma and Boris Yeltsin resolved even more nagging problems,4,0,3,0,3,0,0
APW19980227.0494.tml,16,e61,ei2338,train,saying,READER,"Yeltsin and Kuchma said it would create a ``strong legal foundation""",10,0,0,0,0,0,0
APW19980227.0494.tml,24,e101,ei2362,train,doubling,READER,a 10-year economic program will double the two nations' trade turnover,2,0,1,0,7,0,0
APW19980227.0494.tml,25,e107,ei2366,train,cooperation,READER,"there will be cooperation in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries",4,0,2,0,2,0,2
APW19980227.0494.tml,26,e111,ei2367,train,manufacturing,READER,An-70 cargo planes will be manufactured,7,0,2,0,0,0,1
APW19980227.0494.tml,27,e114,ei2370,train,coordination,READER,there will be coordination of economic reforms and joint improvement of social programs in the two countries,0,0,2,0,1,0,7
APW19980227.0494.tml,28,e125,ei2376,train,discuss,READER,Kuchma discussed Ukraine's debt,1,0,7,0,0,0,2
APW19980301.0720.tml,5,e3,ei2000,train,wants,READER,Israel wants to withdraw from southern Lebanon,3,0,5,0,2,0,0
APW19980301.0720.tml,6,e10,ei2006,train,withdraw,READER,Israel will withdraw from southern Lebanon,0,0,1,0,5,0,4
APW19980301.0720.tml,7,e14,ei2008,train,cooperate,READER,the Lebanese government will cooperate,1,0,0,0,2,0,7
APW19980301.0720.tml,12,e43,ei2029,train,stay,READER,no-one wants to stay in Lebanon,6,0,0,0,4,0,0
APW19980301.0720.tml,13,e44,ei2030,train,think,READER,the speaker and his people think it's better to withdraw,9,0,0,0,0,0,1
APW19980301.0720.tml,17,e61,ei2041,train,faced,READER,the Israeli government has been faced with a growing grassroots movement,10,0,0,0,0,0,0
APW19980301.0720.tml,22,e84,ei2059,train,talks,READER,there are peace talks between the two countries,0,5,0,0,2,0,3
APW19980301.0720.tml,25,e100,ei2072,train,talks,READER,there are Israel-Syrian talks,4,5,0,0,0,0,1
APW19980301.0720.tml,26,e109,ei2078,train,withdraw,READER,Defense Minister Yitzhak Mordechai withdrew troops in exchange for guarantees that Israel would not be attacked,1,3,1,0,0,0,5
APW19980306.1001.tml,8,e10,ei1239,train,inspected,READER,All sites were inspected to the satisfaction of the inspection team,10,0,0,0,0,0,0
APW19980306.1001.tml,12,e27,ei1250,train,last,READER, the tour will last over a week,0,0,10,0,0,0,0
APW19980306.1001.tml,13,e33,ei1255,train,providing,READER,the Baghdad government provided Ritter's team with escorts,2,8,0,0,0,0,0
APW19980306.1001.tml,13,e37,ei1257,train,enter,READER,Ritter's team could enter the sites,1,9,0,0,0,0,0
APW19980306.1001.tml,15,e42,ei1259,train,mention,READER,the official Iraqi News Agency mentioned Ritter by name,0,10,0,0,0,0,0
APW19980306.1001.tml,26,e98,ei1295,train,expected,READER,Palace inspections are expected to start before the new agreement's procedures are in place,0,7,1,2,0,0,0
APW19980306.1001.tml,29,e114,ei1303,train,lift,READER,the Security Council will lift the sweeping sanctions imposed on Iraq,0,3,0,3,1,3,0
APW19980308.0201.tml,5,e49,ei198,train,reaching,READER,the crowd reached the Yugoslavian consulate,0,10,0,0,0,0,0
APW19980322.0749.tml,9,e15,ei2036,train,attempt,READER,there is a latest attempt by extremists to undermine the peace process,3,0,4,0,3,0,0
APW19980322.0749.tml,12,e36,ei2047,train,carried,READER,the Mitsubishi truck carried the bomb,1,6,1,0,2,0,0
APW19980322.0749.tml,13,e42,ei2050,train,conclude,READER,the multi-party talks will conclude by May,0,0,10,0,0,0,0
APW19980322.0749.tml,27,e100,ei2094,train,interfering,READER,a few hundred Protestants interfered with the Catholics,2,8,0,0,0,0,0
APW19980322.0749.tml,29,e105,ei2098,train,hit,READER,an unmarked police car was hit with gasoline bombs from the Protestant side,8,0,1,0,1,0,0
APW19980501.0480.tml,10,e48,ei266,train,initiatives,READER,there will be electronic commerce initiatives in the country,3,0,3,0,1,0,3
APW19980501.0480.tml,17,e101,ei292,train,address,READER,the trust levels that enterprises have with each other will be addressed,2,1,3,0,1,0,3
APW19981205.0374.tml,6,e1,ei1,test,participate,READER,"Poland, Hungary and the Czech Republic will participate in NATO strategy planning",0,0,2,0,3,0,5
APW19981205.0374.tml,8,e10,ei12,test,join,READER,the three will join,1,0,7,0,2,0,0
APW19990122.0193.tml,4,e2,ei2,test,found,READER,a strand of hair was found near where a sniper shot and killed a doctor,9,1,0,0,0,0,0
APW19990122.0193.tml,5,e8,ei8,test,came,READER,the hair came from the same person,0,0,10,0,0,0,0
APW19990122.0193.tml,6,e12,ei12,test,exclude,READER,the first DNA tests excluded a match between the two strands,0,9,0,1,0,0,0
APW19990122.0193.tml,14,e44,ei44,test,fired,READER,the sniper fired the rifle bullet that killed Slepian near the location where the cap was found,0,0,6,0,3,0,1
APW19990122.0193.tml,16,e54,ei54,test,visit,READER,Louis Freeh went on an official visit to Mexico,10,0,0,0,0,0,0
APW19990122.0193.tml,17,e61,ei61,test,shooting,READER,there was a shooting,10,0,0,0,0,0,0
APW19990122.0193.tml,17,e63,ei63,test,leading,READER,a trail of credit card receipts leads to Mexico,10,0,0,0,0,0,0
APW19990122.0193.tml,19,e70,ei70,test,spotted,READER,Kopp's car was spotted in Amherst in the weeks before Slepian was killed,9,0,1,0,0,0,0
APW19990206.0090.tml,5,e8,ei8,test,was,READER,Horsley's ÒNuremburg FilesÓ was the focus of a federal court trial that lead to a $107 million verdict,10,0,0,0,0,0,0
APW19990206.0090.tml,6,e12,ei12,test,was,READER,Horsley was a defendant in the suit,0,10,0,0,0,0,0
APW19990206.0090.tml,16,e37,ei37,test,searching,READER,they are searching for a bolder provider to host the files,9,0,1,0,0,0,0
APW19990312.0251.tml,4,e3,ei3,test,shedding,READER,"Poland, Hungary and the Czech Republic shed their military ties to the Soviet Union",10,0,0,0,0,0,0
APW19990312.0251.tml,5,e4,ei4,test,accepted,READER,Secretary of State Madeleine Albright accepted admission papers from the three countries' foreign ministers,9,0,0,0,0,0,1
APW19990312.0251.tml,12,e21,ei21,test,working,READER,Jan Kavan was working in nearby Kansas City with the underground in 1968,8,0,1,1,0,0,0
APW19990312.0251.tml,22,e37,ei37,test,dominate,READER,the issue will dominate a NATO summit,0,0,9,0,0,0,1
APW19990312.0251.tml,22,e38,ei38,test,summit,READER,there will be a NATO summit,9,0,1,0,0,0,0
APW19990312.0251.tml,28,e55,ei55,test,enhance,READER,the three new members enhance NATO's ability to fulfill its core mission,9,0,1,0,0,0,0
APW19990312.0251.tml,30,e64,ei64,test,helps,READER,extending membership to these three democracies helps stabilize a region,6,1,2,0,0,0,1
APW19990410.0123.tml,4,e2,ei2,test,yield,READER,a rifle found near the home of a slain abortion doctor yielded clues,0,0,3,0,6,0,1
APW19990410.0123.tml,9,e19,ei19,test,said,READER,Rowe said that the rifle might also have clothing fibers,7,0,0,0,3,0,0
APW19990410.0123.tml,11,e23,ei23,test,say,READER,investigators said how close the weapon was to the house,0,10,0,0,0,0,0
APW19990410.0123.tml,15,e37,ei37,test,came,READER,a strand of hair behind Slepian's home came from Kopp,3,0,5,0,2,0,0
APW19990506.0155.tml,4,e4,ei4,test,slaying,READER,a doctor was slain,10,0,0,0,0,0,0
APW19990506.0155.tml,7,e12,ei12,test,responsible,READER,James Kopp is responsible for the death of Dr. Barnett Slepian,1,0,7,0,2,0,0
APW19990506.0155.tml,17,e33,ei33,test,divulge,READER,investigators divulged the evidence against Kopp,0,10,0,0,0,0,0
APW19990506.0155.tml,23,e68,ei68,test,contact,READER,Kopp will contact a priest,0,0,0,0,0,1,9
APW19990506.0155.tml,23,e71,ei71,test,did,READER,Kopp did something,1,0,0,0,2,0,7
APW19990507.0207.tml,14,e26,ei26,test,called,READER,they had called Kopp a suspect,2,5,0,0,2,0,1
APW19990507.0207.tml,15,e29,ei29,test,said,READER,investigators said a discovery of a rifle represented a major breakthrough,10,0,0,0,0,0,0
APW19990507.0207.tml,17,e35,ei35,test,linked,READER,Kopp also has been linked to a strand of hair found near where the sniper fired,10,0,0,0,0,0,0
APW19990507.0207.tml,17,e37,ei37,test,fired,READER, the sniper fired,10,0,0,0,0,0,0
APW19990607.0041.tml,8,e16,ei16,test,arrest,READER,Kopp has been arrested,0,8,0,0,0,0,2
APW19990607.0041.tml,10,e27,ei27,test,have,READER,Bin Laden and Kopp have one thing in common,9,0,1,0,0,0,0
APW19990607.0041.tml,13,e39,ei39,test,unknown,READER,it is unknown whether Kopp crossed into Mexico,10,0,0,0,0,0,0
APW19990607.0041.tml,15,e49,ei49,test,placing,READER,Bin Laden is placed on the most-wanted list,7,0,1,0,0,0,2
APW19990607.0041.tml,16,e54,ei54,test,receive,READER,the FBI receives threats from individuals with ties to Bin Laden,10,0,0,0,0,0,0
APW19990607.0041.tml,21,e67,ei67,test,are,READER,Bin Laden and Kopp are the 455th and 456th persons to be placed on the FBI's most wanted list,10,0,0,0,0,0,0
APW19990607.0041.tml,24,e77,ei77,test,apprehended,READER,another eight suspects have been apprehended,0,8,0,1,0,0,1
APW19990607.0041.tml,31,e94,ei94,test,has,READER,he has felony convictions,0,10,0,0,0,0,0
APW19991024.0075.tml,11,e20,ei20,test,service,READER,there was a memorial service,0,10,0,0,0,0,0
APW19991024.0075.tml,15,e34,ei34,test,know,READER,the police know where Kopp is,0,10,0,0,0,0,0
APW19991024.0075.tml,19,e41,ei41,test,service,READER,there was a service,9,0,1,0,0,0,0
APW19991024.0075.tml,20,e52,ei52,test,operations,READER,Emily Lyons has undergone a number of operations since the clinic bombing,10,0,0,0,0,0,0
APW20000124.0182.tml,7,e16,ei16,test,say,READER,police Inspector Dave Bowen says that someone is wanted for attempted murder,9,0,0,0,0,0,1
CNN19980126.1600.1104.tml,7,e46,ei269,train,intense,READER,it's fairly intense for AT and T and the people here,4,0,4,0,1,0,1
CNN19980213.2130.0155.tml,3,e10,ei581,train,expect,READER,Saddam Hussein expects punishing air strikes to continue well into the future,1,0,3,0,4,0,2
CNN19980213.2130.0155.tml,6,e40,ei601,train,authorized,READER,the united states is authorized to use force before going to the council,0,10,0,0,0,0,0
CNN19980213.2130.0155.tml,7,e50,ei608,train,harm,READER,there will be serious harm to relations with the Kremlin,1,0,1,0,8,0,0
CNN19980213.2130.0155.tml,7,e118,ei607,train,do,READER,US air strikes against Iraq will do serious harm to relations with the Kremlin,1,0,1,0,8,0,0
CNN19980213.2130.0155.tml,10,e61,ei618,train,arrived,READER,the president arrived in Philadelphia,10,0,0,0,0,0,0
CNN19980213.2130.0155.tml,13,e141,ei631,train,planned,READER,Annan planned a trip,0,9,0,1,0,0,0
CNN19980222.1130.0084.tml,2,e1,ei156,train,appears,READER,diplomacy appears to be making headway in resolving the united nation's standoff with Iraq,7,0,1,0,2,0,0
CNN19980222.1130.0084.tml,2,e2,ei157,train,making,READER,diplomacy is making headway in resolving the united nation's standoff with Iraq,0,0,7,0,3,0,0
CNN19980222.1130.0084.tml,2,e4,ei158,train,resolving,READER,diplomacy is resolving the united nation's standoff with Iraq,0,0,5,0,5,0,0
CNN19980222.1130.0084.tml,5,e73,ei167,train,meet,READER,he will meet with Iraqi deputy prime minister Tariq Aziz,3,0,6,0,1,0,0
CNN19980223.1130.0960.tml,1,e26,ei148,train,conflict,READER,there will be a military conflict with Iraq,0,0,2,0,7,0,1
CNN19980223.1130.0960.tml,2,e28,ei151,train,solution,READER,there is a diplomatic solution to the crisis,0,0,8,0,1,0,1
CNN19980223.1130.0960.tml,2,e32,ei153,train,hand,READER,a diplomatic solution to the crisis is at hand,1,0,8,0,1,0,0
CNN19980223.1130.0960.tml,2,e33,ei155,train,fall,READER,oil prices will fall further,2,0,7,0,0,0,1
CNN19980223.1130.0960.tml,4,e13,ei162,train,increase,READER,the momentum will increase,0,0,7,0,3,0,0
CNN19980227.2130.0067.tml,2,e8,ei2001,train,related,READER,a series of bombings in Atalanta and last month's explosion at an Alabama women's clinic are related,0,0,2,0,8,0,0
CNN19980227.2130.0067.tml,16,e36,ei2017,train,match,READER,the plates match those found at the abortion clinic bombing in Atlanta,3,0,4,0,3,0,0
CNN19980227.2130.0067.tml,17,e42,ei2020,train,come,READER,the plates came from a machine shop in north Carolina,0,0,1,0,9,0,0
CNN19980227.2130.0067.tml,19,e102,ei2027,train,extraordinary,READER,it would be extraordinary,7,0,0,2,1,0,0
CNN19980227.2130.0067.tml,19,e104,ei2029,train,connection,READER,there is a connection,0,0,7,1,2,0,0
CNN19980227.2130.0067.tml,22,e61,ei2035,train,attack,READER,there was an attack on a gay lounge,10,0,0,0,0,0,0
CNN19980227.2130.0067.tml,25,e72,ei2043,train,suspect,READER,officials suspect a link between all the bombings,6,0,4,0,0,0,0
CNN19980227.2130.0067.tml,25,e110,ei2044,train,link,READER,there is a link between all the bombings,0,0,5,0,5,0,0
CNN19980227.2130.0067.tml,27,e80,ei2051,train,assertion,READER,there are sweeping assertions,0,9,0,0,0,0,1
NYT19980206.0460.tml,8,e1,ei2184,train,created,READER,the economy created jobs at a surprisingly robust pace in January,10,0,0,0,0,0,0
NYT19980206.0460.tml,9,e10,ei2191,train,added,READER,"the economy added 358,000 jobs last month",10,0,0,0,0,0,0
NYT19980206.0460.tml,15,e32,ei2206,train,raise,READER,concerns are raised,0,6,1,2,0,0,1
NYT19980206.0460.tml,21,e61,ei2224,train,counterbalanced,READER,potential inflation is counterbalanced by worries,7,0,1,0,1,0,1
NYT19980206.0460.tml,21,e246,ei2225,train,declines,READER,there will be price declines,0,0,0,0,8,0,2
NYT19980206.0460.tml,29,e107,ei2251,train,move,READER,the federal budget will soon move from deficit into surplus,1,0,5,0,4,0,0
NYT19980206.0460.tml,37,e162,ei2270,train,lead,READER,the situation will lead to a surge of inexpensive imports into the United States,1,0,8,0,1,0,0
NYT19980206.0460.tml,37,e163,ei2271,train,surge,READER,there will be a surge of inexpensive imports into the United States,1,0,6,0,2,0,1
NYT19980206.0460.tml,37,e164,ei2272,train,hurting,READER,a surge of inexpensive imports into the United States will hurt American competitors,2,0,7,0,0,0,1
NYT19980206.0460.tml,38,e166,ei2274,train,lead,READER,the weakness of the Asian economies will lead to decreased demand for American exports,1,0,6,0,3,0,0
NYT19980206.0460.tml,38,e167,ei2275,train,demand,READER,there will be a decreased demand for American exports,0,0,7,0,2,0,1
NYT19980212.0019.tml,4,e1,ei210,train,watching,READER,The woman was watching her clothes dry in a laundromat,10,0,0,0,0,0,0
NYT19980212.0019.tml,5,e10,ei217,train,waiting,READER,the victim was waiting for her clothes to dry,10,0,0,0,0,0,0
NYT19980402.0453.tml,4,e1,ei2217,train,began,READER,a new Essex County task force began delving Thursday into the slayings of 14 black women over the last five years in the Newark area,10,0,0,0,0,0,0
NYT19980402.0453.tml,5,e10,ei2227,train,find,READER,the police and prosecutors found a pattern linking the killings,0,10,0,0,0,0,0
NYT19980402.0453.tml,5,e51,ei2230,train,prostitutes,READER,several of the victims were prostitutes,1,0,7,0,1,0,1
NYT19980402.0453.tml,10,e30,ei2252,train,indicate,READER,these different methods of killing and other evidence indicate that the eight cases are not related,2,0,8,0,0,0,0
NYT19980402.0453.tml,10,e31,ei2254,train,related,READER,the eight cases are related,0,5,0,5,0,0,0
NYT19980402.0453.tml,11,e34,ei2258,train,draw,READER,officials drew firm conclusions,0,10,0,0,0,0,0
NYT19980402.0453.tml,12,e36,ei2260,train,arrests,READER,there have been arrests in the slayings,0,10,0,0,0,0,0
NYT19980424.0421.tml,10,e43,ei2131,train,agree,READER,Justices Sandra Day O'Connor and Anthony Kennedy agree that the law amounted to unconstitutional sex discrimination,1,0,8,0,0,0,1
NYT19980424.0421.tml,10,e44,ei2132,train,amounted,READER,the law amounted to unconstitutional sex discrimination,3,0,4,0,2,0,1
NYT19980424.0421.tml,11,e45,ei2133,train,providing,READER,they provided the votes to strike it down,0,10,0,0,0,0,0
NYT19980424.0421.tml,11,e46,ei2134,train,strike,READER,they striked it down,0,10,0,0,0,0,0
NYT19980424.0421.tml,12,e54,ei2140,train,cover,READER,the Justice Department covered itself with glory,0,9,0,1,0,0,0
NYT19981025.0188.tml,11,e15,ei15,test,stop,READER,a principled commitment stopped the assassin's bullet,0,10,0,0,0,0,0
NYT19981025.0188.tml,17,e33,ei33,test,wounded,READER,a clinic bombing wounded a nurse,10,0,0,0,0,0,0
NYT19981025.0188.tml,20,e40,ei40,test,make,READER,all arson and bombings at clinics still make the national news,1,9,0,0,0,0,0
NYT19981025.0188.tml,21,e42,ei42,test,working,READER,conservatives are working to dismantle reproductive rights,9,0,0,0,0,0,1
NYT19981025.0188.tml,21,e43,ei43,test,dismantle,READER,conservatives in Congress and in state legislatures will dismantle reproductive rights,0,0,1,0,5,0,4
NYT19981025.0188.tml,24,e66,ei66,test,warranted,READER,strong condemnations are warranted,3,0,1,1,2,0,3
NYT19981025.0188.tml,25,e71,ei71,test,working,READER,doctors are working,3,0,0,0,0,0,7
NYT19981025.0188.tml,28,e83,ei83,test,have,READER,more than 80 percent of counties in this country have an abortion provider,0,10,0,0,0,0,0
NYT19981025.0216.tml,5,e2,ei2,test,emerged,READER,additional details of the slaying emerged on Sunday,10,0,0,0,0,0,0
NYT19981025.0216.tml,6,e5,ei5,test,entered,READER,the sniper's bullet entered through a partially draped kitchen window,9,0,1,0,0,0,0
NYT19981025.0216.tml,7,e10,ei10,test,said,READER,Murray said that the doctor's wife and one of his sons were in the kitchen,10,0,0,0,0,0,0
NYT19981025.0216.tml,12,e20,ei20,test,described,READER,Donald Spitz described Slepian's killer as a hero,10,0,0,0,0,0,0
NYT19981025.0216.tml,21,e50,ei50,test,defend,READER,Bishop Henry Mansell defended the Church's opposition to abortion,10,0,0,0,0,0,0
NYT19981025.0216.tml,26,e65,ei65,test,call,READER,they call these doctors murderers,9,0,0,0,1,0,0
NYT19981026.0446.tml,10,e10,ei10,test,raised,READER,Charles Schumer has raised Slepian's death himself,0,10,0,0,0,0,0
NYT19981026.0446.tml,12,e15,ei15,test,identified,READER,suspects have been identified,3,7,0,0,0,0,0
NYT19981026.0446.tml,17,e34,ei34,test,conference,READER,there will be a news conference to screen a television advertisement,5,0,5,0,0,0,0
NYT19981026.0446.tml,24,e56,ei56,test,working,READER,David Eichenbaum is working for someone in this year's campaign,0,10,0,0,0,0,0
NYT19981026.0446.tml,25,e61,ei61,test,incident,READER,there was an incident,9,0,0,0,1,0,0
NYT19981026.0446.tml,28,e66,ei66,test,comment,READER,D'Amato's aides commented about the political ramifications of the slaying,0,10,0,0,0,0,0
NYT19981026.0446.tml,28,e68,ei68,test,talk,READER,Schumer's aides talked about whether they planned to refer to it in any advertisements,0,8,0,1,0,0,1
NYT19981026.0446.tml,31,e78,ei78,test,was,READER,Steven Goldstein was less reticent,10,0,0,0,0,0,0
NYT19981026.0446.tml,35,e89,ei89,test,enforce,READER,Vacco enforced a court order in 1992 against anti-abortion protesters,0,9,0,1,0,0,0
NYT19981026.0446.tml,40,e104,ei104,test,elected,READER,Spitzer will be elected,0,0,0,0,3,0,7
NYT19981026.0446.tml,41,e108,ei108,test,defended,READER,Goldstein defended the use of the issue by noting that the attorney general has direct impact on the issue of clinic access,9,0,0,0,1,0,0
NYT19981026.0446.tml,42,e114,ei114,test,attempting,READER,Spitzer had attempted to capitalize on the murder,5,0,1,0,3,0,1
NYT19981026.0446.tml,42,e116,ei116,test,garner,READER,Spitzer garnered votes,3,1,0,0,4,0,2
NYT19981026.0446.tml,43,e120,ei120,test,exploit,READER,Eliot Spitzer will exploit the unfortunate murder of Slepian as a steppingstone for his own political ambitions,3,0,2,0,5,0,0
NYT19981026.0446.tml,44,e124,ei124,test,be,READER,there is political hay to be made,1,0,2,0,7,0,0
NYT19981026.0446.tml,44,e125,ei125,test,made,READER,political hay will be made,1,0,1,0,8,0,0
NYT19981026.0446.tml,45,e127,ei127,test,Trying,READER,some candidate tried to score political points from a homicide,1,0,2,1,1,0,5
NYT19981026.0446.tml,45,e132,ei132,test,working,READER,Maureen Connelly was working for at least one candidate in the election,0,9,0,0,0,0,1
NYT19981120.0362.tml,8,e4,ei4,test,fled,READER,the antiabortion activist fled to Mexico,0,0,0,0,9,0,1
