%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
CONTRADICTION	 ( ( A woman ) ( is on:putting_on_makeup ) ) 	 ( There ( is ( ( no woman ) on:putting_on_makeup ) ) ) 	4	2911
CONTRADICTION	 ( boys:Three_boys_in_karate_costumes ( are fighting ) ) 	 ( boys:Three_boys_in_karate_costumes ( ( are n't ) fighting ) ) 	3.3	1503
NEUTRAL	 ( small:A_small_boy ( is ( scolding dog:a_dog ) ) ) 	 ( small:A_small_boy ( is ( playing ( with dog:a_dog ) ) ) ) 	3.4	2130
NEUTRAL	 ( ( The woman ) ( ( is n't ) ( stirring ( eggs ( in ( a bowl ) ) ) ) ) ) 	 ( Someone ( is ( beating ( an egg ) ) ) ) 	3.2	3398
CONTRADICTION	 ( ( A man ) ( is a:playing_a_guitar ) ) 	 ( There ( is ( ( no man ) a:playing_a_guitar ) ) ) 	3.6	4520
ENTAILMENT	 ( ( A horse ) ( is ( being ( ridden ( by ( a person ) ) ) ) ) ) 	 ( ( A person ) ( is ( riding ( a horse ) ) ) ) 	5	5914
NEUTRAL	 ( ( A woman ) ( is ( playing ( the violin ) ) ) ) 	 ( There ( is ( ( no man ) ( playing ( the piano ) ) ) ) ) 	2.1	5082
NEUTRAL	 ( ( Two children ) ( are ( playing ( on statue:a_statue ) ) ) ) 	 ( ( Small children ) ( are ( climbing ( statue:a_statue ( in ( a park ) ) ) ) ) ) 	4.1	7356
ENTAILMENT	 ( Someone ( is ( strumming guitar:the_guitar ) ) ) 	 ( Someone ( is ( playing guitar:the_guitar ) ) ) 	4.5	2557
NEUTRAL	 ( ( A cook ) ( is ( coating ( ( a pork ) chop ) ) ) ) 	 ( ( A woman ) ( is ( grating carrots ) ) ) 	2.1	3292
ENTAILMENT	 ( ( A man ) ( is ( climbing rope:a_rope ) ) ) 	 ( ( The man ) ( is ( ( climbing up ) rope:a_rope ) ) ) 	4.8	4006
NEUTRAL	 ( ( Rugby players ) ( ( are not ) ( tackling ( each other ) ) ) ) 	 ( ( A ( soccer player ) ) ( is ( being ( tackled ( by ( his opponent ) ) ) ) ) ) 	2.5	7002
ENTAILMENT	 ( ( A skateboarder ) jumping:is_jumping_in_the_air ) 	 ( ( The skateboarder ) jumping:is_jumping_in_the_air ) 	4.9	9303
CONTRADICTION	 ( There ( are ( ( no racers ) down:running_down_a_track ) ) ) 	 ( Racers ( are down:running_down_a_track ) ) 	3.7	3680
ENTAILMENT	 ( man:A_man ( ( is recklessly ) a:climbing_a_rope ) ) 	 ( man:A_man ( is a:climbing_a_rope ) ) 	4.3	4001
CONTRADICTION	 ( ( A man ) ( is a:driving_a_car ) ) 	 ( There ( is ( ( no man ) a:driving_a_car ) ) ) 	4.4	4614
ENTAILMENT	 ( tennis:A_tennis_player ( is ( jumping the:to_the_left ) ) ) 	 ( tennis:A_tennis_player ( is ( lunging the:to_the_left ) ) ) 	4.4	7795
NEUTRAL	 ( boys:Three_boys ( are ( walking rocks:on_rocks_along_a_river ) ) ) 	 ( boys:Three_boys ( are ( resting rocks:on_rocks_along_a_river ) ) ) 	3.8	6764
NEUTRAL	 ( Ferrets ( are ( ( climbing down ) ( from ( a shelf ) ) ) ) ) 	 ( ( A ( few ferrets ) ) ( are ( ( climbing out ) ( of ( the cage ) ) ) ) ) 	3.1	2668
NEUTRAL	 ( ( A man ) ( is screaming ) ) 	 ( ( A ( sad man ) ) ( is crying ) ) 	2.9	1400
NEUTRAL	 ( ( A woman ) ( is ( playing ( an ( electric guitar ) ) ) ) ) 	 ( ( A man ) ( is ( ( laying down ) ( a guitar ) ) ) ) 	2.3	3002
CONTRADICTION	 ( band:A_band ( ( is not ) some:playing_some_instruments ) ) 	 ( band:A_band ( is some:playing_some_instruments ) ) 	3.8	4852
ENTAILMENT	 ( ( The man ) ( is ( ( ( singing and ) playing ) ( the guitar ) ) ) ) 	 ( ( The guitar ) ( is ( being ( played ( by ( a man ) ) ) ) ) ) 	4.3	3909
ENTAILMENT	 ( ( A man ) doing:is_doing_a_trick_on_a_skateboard ) 	 ( ( A person ) doing:is_doing_a_trick_on_a_skateboard ) 	4.4	8334
ENTAILMENT	 ( ( The woman ) cleaning:is_cleaning_a_shrimp ) 	 ( ( A woman ) cleaning:is_cleaning_a_shrimp ) 	4.9	3364
ENTAILMENT	 ( ( A dog ) swimming:is_swimming_in_a_body_of_water ) 	 ( ( An animal ) swimming:is_swimming_in_a_body_of_water ) 	4.5	8806
ENTAILMENT	 ( man:A_man ( is ( playing ( an ( electric guitar ) ) ) ) ) 	 ( man:A_man ( is ( playing guitar ) ) ) 	4.9	1493
NEUTRAL	 ( ( A ( young boy ) ) ( is ( playing ( a ( wind instrument ) ) ) ) ) 	 ( ( A kid ) ( is ( ( throwing away ) ( an instrument ) ) ) ) 	2.8	3174
CONTRADICTION	 ( toy:A_toy_train ( is ( striking toy:a_toy_car ) ) ) 	 ( toy:A_toy_train ( is ( missing toy:a_toy_car ) ) ) 	3.8	3711
NEUTRAL	 ( woman:A_woman ( is ( refrigerating potato:a_potato ) ) ) 	 ( woman:A_woman ( is ( peeling potato:a_potato ) ) ) 	3.7	3982
ENTAILMENT	 ( ( The horse ) ( is ( being ( ridden ( by ( a man ) ) ) ) ) ) 	 ( ( A man ) ( is ( riding ( the horse ) ) ) ) 	5	2001
NEUTRAL	 ( ( The man ) ( ( is not ) ( doing exercises ) ) ) 	 ( ( Two men ) ( are fighting ) ) 	2.3	5930
CONTRADICTION	 ( few:A_few_men_in_a_competition ( are ( running outside ) ) ) 	 ( few:A_few_men_in_a_competition ( are ( running indoors ) ) ) 	3.9	717
NEUTRAL	 ( person:A_person ( is ( eating ( in ( a restaurant ) ) ) ) ) 	 ( person:A_person ( is ( making ( a bed ) ) ) ) 	1.2	5657
ENTAILMENT	 ( ( A girl ) ( is ( eating ( a cupcake ) ) ) ) 	 ( ( A cupcake ) ( is ( being ( eaten ( by ( a girl ) ) ) ) ) ) 	5	5588
ENTAILMENT	 ( man:The_man ( is ( ( hurling knives ) a:at_a_tree ) ) ) 	 ( man:The_man ( is ( ( throwing knives ) a:at_a_tree ) ) ) 	4.6	4066
ENTAILMENT	 ( dog:A_dog ( is ( ( running breathlessly ) the:on_the_road ) ) ) 	 ( dog:A_dog ( is ( running the:on_the_road ) ) ) 	4.5	4054
NEUTRAL	 ( ( Three men ) ( are ( practicing ( karate outdoors ) ) ) ) 	 ( ( ( Three boys ) ( in ( karate costumes ) ) ) ( are fighting ) ) 	3.8	1506
CONTRADICTION	 ( There ( is ( ( no boy ) across:walking_across_a_bridge ) ) ) 	 ( ( A boy ) ( is across:walking_across_a_bridge ) ) 	3.7	3222
NEUTRAL	 ( ( A ( big fish ) ) ( is ( catching ( a man ) ) ) ) 	 ( ( A woman ) ( is ( deboning ( a fish ) ) ) ) 	1.9	3420
NEUTRAL	 ( Nobody ( is ( slicing ( a tomato ) ) ) ) 	 ( ( The person ) ( is ( slicing ( a vegetable ) ) ) ) 	3.1	2544
CONTRADICTION	 ( There ( is ( ( no man ) a:drawing_a_picture ) ) ) 	 ( ( A man ) ( is a:drawing_a_picture ) ) 	3.9	4086
ENTAILMENT	 ( man:A_man ( is ( cutting ( a note ) ) ) ) 	 ( man:A_man ( is ( cutting ( a paper ) ) ) ) 	4.4	4360
ENTAILMENT	 ( white:Two_white_dogs ( ( are quickly ) together:running_together ) ) 	 ( white:Two_white_dogs ( are together:running_together ) ) 	4.6	8714
ENTAILMENT	 ( ( The lady ) ( is ( slicing tomato:a_tomato ) ) ) 	 ( Someone ( is ( cutting tomato:a_tomato ) ) ) 	4.7	2405
CONTRADICTION	 ( There ( is ( ( no woman ) a:slicing_a_fish ) ) ) 	 ( ( A woman ) ( is a:slicing_a_fish ) ) 	2.7	4966
NEUTRAL	 ( ( A snowboarder ) ( is ( ( grinding down ) ( a ( long ( concrete rail ) ) ) ) ) ) 	 ( ( A person ) ( is ( ( doing acrobatics ) ( on ( a snowboard ) ) ) ) ) 	3.3	9314
ENTAILMENT	 ( man:A_man ( is ( ( applying silencer:a_silencer ) ( to ( a gun ) ) ) ) ) 	 ( man:A_man ( is ( ( fitting silencer:a_silencer ) ( to ( a pistol ) ) ) ) ) 	4.8	4734
ENTAILMENT	 ( man:A_man ( is ( climbing rope:a_rope ) ) ) 	 ( man:A_man ( is ( ( climbing up ) rope:a_rope ) ) ) 	4.8	4011
ENTAILMENT	 ( ( A dog:bull_dog ) ( is ( being ( brushed ( by ( the monkey ) ) ) ) ) ) 	 ( ( The monkey ) ( is ( brushing ( a dog:bull_dog ) ) ) ) 	4.8	2604
NEUTRAL	 ( ( A man ) ( is ( ( doing ( back flips ) ) a:on_a_trampoline ) ) ) 	 ( ( Several boys ) ( are ( jumping a:on_a_trampoline ) ) ) 	3.4	4140
NEUTRAL	 ( ( An ( old topless:,_topless_woman ) ) covered:is_covered_in_paint ) 	 ( ( A ( young topless:,_topless_woman ) ) covered:is_covered_in_paint ) 	3.8	304
CONTRADICTION	 ( ( A person ) ( is some:cutting_some_ginger ) ) 	 ( There ( is ( ( no person ) some:cutting_some_ginger ) ) ) 	3.8	4816
ENTAILMENT	 ( Swimmers ( are ( racing a:in_a_lake ) ) ) 	 ( ( Some racers ) ( are ( swimming a:in_a_lake ) ) ) 	4.3	3733
NEUTRAL	 ( ( A man ) ( is ( cutting onions ) ) ) 	 ( ( A woman ) ( is ( cutting ( an onion ) ) ) ) 	3.5	5047
NEUTRAL	 ( ( A man ) ( is ( running the:on_the_road ) ) ) 	 ( ( A dog ) ( is ( ( running breathlessly ) the:on_the_road ) ) ) 	2.6	4060
ENTAILMENT	 ( ( A person ) ( is ( peeling ( a potato ) ) ) ) 	 ( ( A potato ) ( is ( being ( peeled ( by ( a person ) ) ) ) ) ) 	5	5799
CONTRADICTION	 ( man:A_man ( is a:playing_a_flute ) ) 	 ( man:A_man ( ( is not ) a:playing_a_flute ) ) 	4.2	5454
NEUTRAL	 ( ( group:A_group ( of scouts ) ) ( are ( hiking the:through_the_grass ) ) ) 	 ( ( group:A_group ( of explorers ) ) ( are ( walking the:through_the_grass ) ) ) 	4.1	402
NEUTRAL	 ( large:A_large_green_ball ( is ( hitting potato:a_potato ) ) ) 	 ( large:A_large_green_ball ( is ( missing potato:a_potato ) ) ) 	3.5	2968
NEUTRAL	 ( ( A flute ) ( ( is n't ) ( being ( played ( by ( a man ) ) ) ) ) ) 	 ( ( A man ) ( is ( playing ( ( the guitar ) loudly ) ) ) ) 	2.4	1811
ENTAILMENT	 ( ( Three women ) dancing:are_dancing ) 	 ( ( A ( few women ) ) dancing:are_dancing ) 	4.6	2566
CONTRADICTION	 ( ( A man ) ( is a:playing_a_wooden_flute ) ) 	 ( There ( is ( ( no man ) a:playing_a_wooden_flute ) ) ) 	3.7	4155
ENTAILMENT	 ( man:The_man ( is ( lifting barbells ) ) ) 	 ( man:The_man ( is ( lifting weights ) ) ) 	4.3	2898
ENTAILMENT	 ( man:A_man ( is ( practicing drum:the_drum ) ) ) 	 ( man:A_man ( is ( playing drum:the_drum ) ) ) 	4.6	3586
CONTRADICTION	 ( ( The lady ) ( is ( slicing tomato:a_tomato ) ) ) 	 ( There ( ( is ( no one ) ) ( cutting tomato:a_tomato ) ) ) 	3	2404
NEUTRAL	 ( dog:A_dog ( is ( leaving ( ball:a_ball ( in ( the dirt ) ) ) ) ) ) 	 ( dog:A_dog ( is ( ( chasing ball:a_ball ) ( through dirt ) ) ) ) 	3.7	5955
NEUTRAL	 ( group:A_group_of_people ( are marching ) ) 	 ( group:A_group_of_people ( are ( dancing ( in ( a show ) ) ) ) ) 	2.3	5540
ENTAILMENT	 ( woman:A_woman ( is ( using ( machine:a_machine ( made ( for sewing ) ) ) ) ) ) 	 ( woman:A_woman ( is ( sewing ( with machine:a_machine ) ) ) ) 	4.8	2166
CONTRADICTION	 ( ( ( A girl ) ( in white ) ) ( is dancing ) ) 	 ( There ( is ( ( no girl ) ( in ( white dancing ) ) ) ) ) 	4.2	219
ENTAILMENT	 ( ( The woman ) ( is ( slicing ( cooked octopus ) ) ) ) 	 ( ( A woman ) ( is ( ( chopping up ) ( an octopus ) ) ) ) 	4.4	4288
NEUTRAL	 ( ( A boy ) ( is ( playing ( a piano ) ) ) ) 	 ( There ( is ( no ( man ( ( ( singing and ) playing ) ( a guitar ) ) ) ) ) ) 	2.2	3996
ENTAILMENT	 ( man:A_man ( is ( rowing ( a canoe ) ) ) ) 	 ( man:A_man ( is ( rowing ( a boat ) ) ) ) 	4.2	5806
NEUTRAL	 ( ( The elephant ) ( is ( being ( ridden ( by ( the woman ) ) ) ) ) ) 	 ( ( A person ) ( is ( slicing ( some mushrooms ) ) ) ) 	1	9763
ENTAILMENT	 ( woman:A_woman ( is ( slicing ( ( a pepper ) ( which ( is green ) ) ) ) ) ) 	 ( woman:A_woman ( is ( slicing ( a ( green pepper ) ) ) ) ) 	4.8	3812
CONTRADICTION	 ( There ( is ( ( no boy ) ( checking calendar:a_calendar ) ) ) ) 	 ( ( A boy ) ( is ( looking ( at calendar:a_calendar ) ) ) ) 	3.9	3941
NEUTRAL	 ( ( The man ) sprinkling:is_sprinkling_cheese_on_the_pizza ) 	 ( ( The cook ) sprinkling:is_sprinkling_cheese_on_the_pizza ) 	4	5698
NEUTRAL	 ( woman:A_woman ( is ( ( putting away ) carrots ) ) ) 	 ( woman:A_woman ( is ( coating ( ( a pork ) chop ) ) ) ) 	1.7	3291
ENTAILMENT	 ( ( Two ( sumo wrestlers ) ) fighting:are_fighting ) 	 ( ( Two ( sumo ringers ) ) fighting:are_fighting ) 	4	5113
ENTAILMENT	 ( surfer:A_surfer ( is ( surfing ( a ( huge wave ) ) ) ) ) 	 ( surfer:A_surfer ( is ( surfing ( a ( big wave ) ) ) ) ) 	4.9	9359
NEUTRAL	 ( man:A_man ( is ( slicing ( a tomato ) ) ) ) 	 ( man:A_man ( is ( slicing ( a bun ) ) ) ) 	3.6	1232
NEUTRAL	 ( man:A_man ( is scared ) ) 	 ( man:A_man ( is screaming ) ) 	3.6	1396
NEUTRAL	 ( men:Two_men ( are ( outside cattle:a_cattle_pen ) ) ) 	 ( men:Two_men ( are ( fighting ( in cattle:a_cattle_pen ) ) ) ) 	3	2936
NEUTRAL	 ( dogs:Two_dogs ( are ( running ( through water ) ) ) ) 	 ( dogs:Two_dogs ( are ( running ( through ( high grass ) ) ) ) ) 	3.335	8220
