%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( ( A man ) ( is ( playing ( a trumpet ) ) ) ) 	 ( ( The man ) ( is ( playing ( a guitar ) ) ) ) 	2.2	2485
NEUTRAL	 ( ( A cat ) ( is ( jumping ( high ( into ( ( the air ) ( in ( the country ) ) ) ) ) ) ) ) 	 ( ( A dog ) ( is ( jumping ( in ( ( the shade ) ( of ( some trees ) ) ) ) ) ) ) 	1.6	9453
ENTAILMENT	 ( ( One man ) ( is ( doing ( floor exercises ) ) ) ) 	 ( ( A man ) ( is ( doing exercises ) ) ) 	4.3	3598
NEUTRAL	 ( ( ( The man ) ( dressed ( in ( ( chaps:leather_chaps and ) purple:a_purple_shirt ) ) ) ) ( is ( standing ( in ( front ( of ( someone lookers ) ) ) ) ) ) ) 	 ( ( A man ) ( ( ( is ( wearing ( ( purple:a_purple_shirt and ) ( black chaps:leather_chaps ) ) ) ) and ) ( is ( posing ( for ( the camera ) ) ) ) ) ) 	3.3	9401
NEUTRAL	 ( girl:A_girl ( ( ( is ( standing ( in ( a group ) ) ) ) and ) ( is ( wearing ( ( ( a ( black shirt ) ) and ) ( pink beads ) ) ) ) ) ) 	 ( girl:A_girl ( has ( ( colored patches ) ( on ( the cheeks ) ) ) ) ) 	2.4	8212
ENTAILMENT	 ( ( A hole ) ( is ( being ( burrowed ( by ( the badger ) ) ) ) ) ) 	 ( ( A badger ) ( is ( ( shrewdly digging ) ( the earth ) ) ) ) 	4.5	1584
CONTRADICTION	 ( Nobody playing:is_playing_the_guitar ) 	 ( ( A man ) playing:is_playing_the_guitar ) 	3.7	3258
NEUTRAL	 ( ( A kid ) ( is ( playing guitar ) ) ) 	 ( ( A woman ) ( is ( playing ( an ( electric guitar ) ) ) ) ) 	3	9931
NEUTRAL	 ( ( The ( tall person ) ) ( is ( ( setting fire ) ( to ( the cameras ) ) ) ) ) 	 ( ( A person ) ( is ( ( burning ( some cameras ) ) ( with ( a ( blow torch ) ) ) ) ) ) 	3.8	2362
ENTAILMENT	 ( ( One man ) riding:is_riding_a_horse ) 	 ( ( A man ) riding:is_riding_a_horse ) 	4.7	4079
NEUTRAL	 ( man:A_man_and_a_woman ( are ( down:driving_down ( ( the street ) ( in ( a jeep ) ) ) ) ) ) 	 ( man:A_man_and_a_woman ( are ( down:driving_down ( ( the road ) ( in ( an ( open-air vehicle ) ) ) ) ) ) ) 	4	5904
ENTAILMENT	 ( ( ( ( A man ) and ) ( ( two women ) ( in ( a ( dark room ) ) ) ) ) ( are ( sitting ( at ( ( a table ) ( with candles ) ) ) ) ) ) 	 ( ( ( The group ) ( of people ) ) ( is ( sitting ( in ( a ( dim room ) ) ) ) ) ) 	3.6	7471
NEUTRAL	 ( ( A ( little boy ) ) ( ( ( is ( wearing ( a ( yellow ( tank top ) ) ) ) ) and ) ( is laughing ) ) ) 	 ( ( A ( laughing boy ) ) ( ( ( is ( in ( a ( yellow tank ) ) ) ) and ) ( is ( wearing ( a top ) ) ) ) ) 	3.5	6450
NEUTRAL	 ( ( A woman ) ( is ( slicing potatoes ) ) ) 	 ( ( A horse ) ( is ( being ( ridden ( by ( a person ) ) ) ) ) ) 	1	5920
NEUTRAL	 ( man:A_man ( is ( ( ( ( skiing down ) ( a hill ) ) and ) ( jumping ( a ( red obstacle ) ) ) ) ) ) 	 ( man:A_man ( is ( ( snowboarding down ) ( ( a railing ) ( in ( the snow ) ) ) ) ) ) 	3.1	9287
NEUTRAL	 ( woman:A_woman ( is ( and:dancing_and_singing ( with ( other women ) ) ) ) ) 	 ( woman:A_woman ( is ( and:dancing_and_singing ( in ( the rain ) ) ) ) ) 	4.1	1241
NEUTRAL	 ( ( ( A ( grey ( silky dog ) ) ) ( is ( lying ( in ( ( ( the grass ) and ) ( a dog:brown_dog ) ) ) ) ) ) ( is ( looking on ) ) ) 	 ( ( The dog:brown_dog ) ( is ( spotting ( ( a ( black dog ) ) ( lying ( in ( the ( dry grass ) ) ) ) ) ) ) ) 	3.2	8558
ENTAILMENT	 ( man:A_man ( is ( and:singing_and_playing ( a guitar ) ) ) ) 	 ( man:A_man ( is ( and:singing_and_playing ( a ( musical instrument ) ) ) ) ) 	4.5	4916
NEUTRAL	 ( ( A ( laughing child ) ) ( is ( ( ( holding ( a ( water gun ) ) ) and ) ( getting ( sprayed ( with water ) ) ) ) ) ) 	 ( ( ( A person ) ( in ( a ( blue jacket ) ) ) ) ( is ( jumping ( onto ( a ( tall ( cement wall ) ) ) ) ) ) ) 	1.1	9759
NEUTRAL	 ( ( The person ) ( is ( ( setting fire ) ( to ( the cameras ) ) ) ) ) 	 ( ( ( A person ) ( by ( some cameras ) ) ) ( is ( blowing ( on ( a ( burning torch ) ) ) ) ) ) 	3.3	2366
NEUTRAL	 ( ( ( A group ) ( of ( football players ) ) ) ( is ( ( standing still ) ( in ( the field ) ) ) ) ) 	 ( ( The crowd ) ( is ( watching ( a ( football game ) ) ) ) ) 	2.6	7088
NEUTRAL	 ( ( few:A_few_men ( in ( a competition ) ) ) ( are ( running outside ) ) ) 	 ( few:A_few_men ( are ( ( running competitions ) outside ) ) ) 	3.9	718
NEUTRAL	 ( ( boy:A_boy ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) ) 	 ( boy:A_boy ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) ) 	3.5	7951
ENTAILMENT	 ( ( A person ) ( is ( playing ( a and:guitar_and_singing ) ) ) ) 	 ( ( One person ) ( is ( playing ( the and:guitar_and_singing ) ) ) ) 	4.9	1964
NEUTRAL	 ( woman:A_woman ( is ( planting ( some flowers ) ) ) ) 	 ( woman:A_woman ( is ( cutting broccoli ) ) ) 	1.2	1525
NEUTRAL	 ( ( A keyboard ) ( is ( being ( played ( by ( a man ) ) ) ) ) ) 	 ( ( A man ) ( is ( playing ( a harp ) ) ) ) 	2.4	4638
ENTAILMENT	 ( Someone ( is ( cooking ( okra a:in_a_pan ) ) ) ) 	 ( Okra ( is ( being ( cooked a:in_a_pan ) ) ) ) 	4.9	3536
NEUTRAL	 ( dog:A_dog ( is ( playing ( with ( a toy ) ) ) ) ) 	 ( dog:A_dog ( is ( eating ( a doll ) ) ) ) 	3.6	4191
NEUTRAL	 ( guy:A_guy ( is ( leaping ( into ( air:the_air ( in wood ) ) ) ) ) ) 	 ( guy:A_guy ( is ( leaping ( into ( air:the_air ( in ( a ( wooded area ) ) ) ) ) ) ) ) 	4.3	9211
NEUTRAL	 ( dog:A_dog ( is ( jumping ( in ( ( the shade ) ( of ( some trees ) ) ) ) ) ) ) 	 ( dog:A_dog ( is ( jumping ( into ( ( the air ) ( in ( the country ) ) ) ) ) ) ) 	3.7	9452
ENTAILMENT	 ( child:A_child ( is ( in:running_in_and_out ( of ( the ( ocean waves ) ) ) ) ) ) 	 ( child:A_child ( is ( in:running_in_and_out ( of ( ( the waves ) ( of ( the ocean ) ) ) ) ) ) ) 	4.9	3275
ENTAILMENT	 ( woman:A_woman ( ( ( is ( using ( ( a pencil ) ( for eyes ) ) ) ) and ) ( is ( ( applying ( eye liner ) ) her:to_her_eyelid ) ) ) ) 	 ( woman:A_woman ( is ( ( applying cosmetics ) her:to_her_eyelid ) ) ) 	4.6	3122
NEUTRAL	 ( ( ( ( ( A biker ) ( with ( ( ( ( ( a ( blue jacket ) ) , ) ( black pants ) ) and ) ( a ( white helmet ) ) ) ) ) ( is ( driving ( on dirt ) ) ) ) and ) ( people ( are watching ) ) ) 	 ( ( The ( motocross rider ) ) ( is ( standing naked ) ) ) 	2.6	7043
NEUTRAL	 ( ( A baby ) ( is ( playing ( with ( a toy ) ) ) ) ) 	 ( ( A ( baby tiger ) ) ( is ( playing ( with ( a ball ) ) ) ) ) 	3.2	5747
NEUTRAL	 ( ( Some cheerleaders ) ( are relaxing ) ) 	 ( ( A ( female cheerleader ) ) ( is ( sitting ( on ( ( the knee ) ( of ( a ( male cheerleader ) ) ) ) ) ) ) ) 	3	8122
NEUTRAL	 ( ( The ( blond girl ) ) ( is ( dancing ( in ( front ( of ( the ( sound equipment ) ) ) ) ) ) ) ) 	 ( ( ( A girl ) ( in white ) ) ( is dancing ) ) 	3.3	228
ENTAILMENT	 ( people:Two_people ( are ( driving ( ( jeep:a_jeep_and ( a girl ) ) sitting:is_sitting_on_the_top_of_it ) ) ) ) 	 ( people:Two_people ( are ( driving ( ( jeep:a_jeep_and ( a lady ) ) sitting:is_sitting_on_the_top_of_it ) ) ) ) 	4.8	8163
NEUTRAL	 ( ( A woman ) ( is ( playing ( a guitar ) ) ) ) 	 ( ( A ( talented man ) ) ( is ( playing ( the guitar ) ) ) ) 	3.2	3747
NEUTRAL	 ( ( A tower ) ( is ( being ( looked ( at ( by ( a ( blonde lady ) ) ) ) ) ) ) ) 	 ( ( A woman ) ( is ( looking ( at ( ( the view ) ( of ( a city ) ) ) ) ) ) ) 	3.3	7363
NEUTRAL	 ( dog:A_dog ( is ( ( playing alone ) ( on ( ( a beach ) ( covered ( by snow ) ) ) ) ) ) ) 	 ( dog:A_dog ( is ( walking ( along ( a snowdrift ) ) ) ) ) 	3.2	7743
NEUTRAL	 ( dogs:Two_dogs ( are ( ( playing together ) ( on grass:the_grass ) ) ) ) 	 ( dogs:Two_dogs ( are ( ( resting together ) ( in grass:the_grass ) ) ) ) 	3.3	6231
ENTAILMENT	 ( ( Two ( teenage girls ) ) wearing:are_wearing_fancy_dresses_at_an_event ) 	 ( ( ( Two girls ) ( in ( their teens ) ) ) wearing:are_wearing_fancy_dresses_at_an_event ) 	4.8	6649
NEUTRAL	 ( brown:A_brown_and_white_dog ( is ( running ( through ( the ( tall grass ) ) ) ) ) ) 	 ( brown:A_brown_and_white_dog ( is ( moving ( through ( the ( wild grass ) ) ) ) ) ) 	4.4	382
ENTAILMENT	 ( man:A_man ( is ( emptying ( container:a_container of:made_of_plastic ) ) ) ) 	 ( man:A_man ( is ( emptying ( container:a_container ( of:made_of_plastic completely ) ) ) ) ) 	4.7	1703
ENTAILMENT	 ( ( The doctors ) ( are ( healing ( a man ) ) ) ) 	 ( ( The doctor ) ( is ( helping ( the patient ) ) ) ) 	4.2	4505
NEUTRAL	 ( man:A_man ( is ( ( walking down ) ( a road ) ) ) ) 	 ( ( man:A_man ( from ( the wilderness ) ) ) ( is ( on ( a ( walking path ) ) ) ) ) 	3.4	3861
NEUTRAL	 ( ( ( A girl ) ( in ( a band ) ) ) ( is ( playing ( an instrument ) ) ) ) 	 ( ( The dog ) ( is ( snapping ( at ( ( some droplets ) ( of water ) ) ) ) ) ) 	1	9975
ENTAILMENT	 ( man:A_man ( rock:is_rock ( ( ( ( ,:climbing_, pausing ) and ) calculating ) route:the_route ) ) ) 	 ( man:A_man ( rock:is_rock ( ( ( ( ,:climbing_, stopping ) and ) calculating ) route:the_route ) ) ) 	4.8	8633
NEUTRAL	 ( man:The_man ( is ( ( removing knives ) ( from tree:a_tree ) ) ) ) 	 ( man:The_man ( is ( ( throwing knives ) ( at tree:a_tree ) ) ) ) 	3.3	4067
NEUTRAL	 ( woman:A_woman ( ( ( is ( parking ( a ( blue bicycle ) ) ) ) and ) ( is ( wearing ( lots ( of ( riding helmets ) ) ) ) ) ) ) 	 ( woman:A_woman ( ( ( is ( wearing ( a ( blue helmet ) ) ) ) and ) ( is ( riding ( ( a bicycle ) ( in ( a ( parking lot ) ) ) ) ) ) ) ) 	3.1	6568
ENTAILMENT	 ( Noodles ( are ( being ( ( boiled water:in_water ) ( by ( a woman ) ) ) ) ) ) 	 ( ( A woman ) ( is ( boiling ( noodles water:in_water ) ) ) ) 	5	2704
ENTAILMENT	 ( ( A dog ) ( is ( licking ( a baby ) ) ) ) 	 ( ( The dog ) ( is ( licking ( the baby ) ) ) ) 	4.8	3501
NEUTRAL	 ( ( A ( small dog:white_dog ) ) running:is_running_across_a_lawn ) 	 ( ( A ( big dog:white_dog ) ) running:is_running_across_a_lawn ) 	3.1	8841
NEUTRAL	 ( ( The monkey ) ( is ( brushing ( a dog:bull_dog ) ) ) ) 	 ( ( A dog:bull_dog ) ( is ( brushing ( the monkey ) ) ) ) 	3.9	2606
NEUTRAL	 ( ( A ( ( ( black and ) white ) dog ) ) ( is ( ( dropping baseball:a_baseball ) ( from mouth:its_mouth ) ) ) ) 	 ( ( A ( brown ( and ( white dog ) ) ) ) ( is ( holding ( baseball:a_baseball ( in mouth:its_mouth ) ) ) ) ) 	3.3	6119
ENTAILMENT	 ( ( ( The bunch ) ( of men ) ) ( are ( rugby:playing_rugby ( on ( ( a field ) ( full ( of mud ) ) ) ) ) ) ) 	 ( ( Some men ) ( are rugby:playing_rugby ) ) 	4.5	7582
NEUTRAL	 ( ( Two ( small children ) ) ( are ( playing ( with ( ( a ( toy car ) ) ( in ( the street ) ) ) ) ) ) ) 	 ( ( A dog ) ( ( ( is ( running ( through ( a field ) ) ) ) and ) ( is ( chasing ( a toy ) ) ) ) ) 	1.4	9771
NEUTRAL	 ( ( ( A kid ) ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) ) 	 ( ( A boy ) ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) ) 	3.4	7947
ENTAILMENT	 ( ( The snowboarder ) ( is ( ( doing ( a flip ) ) ( over ( ( a mound ) ( of snow ) ) ) ) ) ) 	 ( Somebody ( is ( jumping ( in ( ( the air ) ( on ( a board ) ) ) ) ) ) ) 	3.8	6932
ENTAILMENT	 ( ( The lady ) picking:is_picking_up_the_kangaroo ) 	 ( ( The woman ) picking:is_picking_up_the_kangaroo ) 	4.9	4015
NEUTRAL	 ( race:A_race_car_driver ( ( ( is ( sitting down ) ) and ) ( is motionless ) ) ) 	 ( race:A_race_car_driver ( is ( ( ( standing up ) and ) ( ( pointing ( his hand ) ) ( at ( the sky ) ) ) ) ) ) 	3	6153
NEUTRAL	 ( ( The woman ) erasing:is_erasing_the_drawing_on_the_board ) 	 ( ( The man ) erasing:is_erasing_the_drawing_on_the_board ) 	3.7	4164
NEUTRAL	 ( ( ( Some ( dangerous men ) ) ( with knives ) ) ( are ( throwing ( ( a bike ) ( against tree:a_tree ) ) ) ) ) 	 ( ( A man ) ( is ( dangerously ( ( throwing knives ) ( at tree:a_tree ) ) ) ) ) 	3.3	2019
NEUTRAL	 ( ( A man ) ( is ( dancing ( on ( the road ) ) ) ) ) 	 ( ( A biker ) ( is ( ( riding away ) ( from ( a fence ) ) ) ) ) 	1.2	9880
NEUTRAL	 ( ( ( A ( black dog ) ) a:on_a_leash ) ( is ( walking ( in water:the_water ) ) ) ) 	 ( ( The dog ) ( ( ( is a:on_a_leash ) and ) ( is ( walking ( near water:the_water ) ) ) ) ) 	4.5	8855
CONTRADICTION	 ( ( A ( large ball:green_ball ) ) ( is ( hitting potato:a_potato ) ) ) 	 ( ( A ( big ball:green_ball ) ) ( is ( missing potato:a_potato ) ) ) 	3.4	2972
NEUTRAL	 ( ( An onion ) ( is ( being ( ( sliced ( with ( a knife ) ) ) ( by ( the woman ) ) ) ) ) ) 	 ( ( A man ) ( is ( preparing ( some dish ) ) ) ) 	1.3	2410
NEUTRAL	 ( ( ( ( boy:A_boy , ) is:who_is_wearing_a_blue_coat ) , ) ( is ( being ( ( held ( by father:his_father ) ) an:under_an_umbrella ) ) ) ) 	 ( ( boy:A_boy an:under_an_umbrella ) ( is ( being ( held ( by ( father:his_father is:who_is_wearing_a_blue_coat ) ) ) ) ) ) 	4.3	7726
NEUTRAL	 ( ( ( A woman ) ( in jeans ) ) ( is ( sitting ( on ( ( the saddle ) ( of ( a horse ) ) ) ) ) ) ) 	 ( ( ( A person ) ( wearing jeans ) ) ( is ( ( sitting happily ) ( on ( ( the top ) ( of ( a ( horse saddle ) ) ) ) ) ) ) ) 	4.2	6078
NEUTRAL	 ( ( ( A girl ) ( in white ) ) ( is dancing ) ) 	 ( ( ( The equipment ) ( in ( front ( of ( the ( blond ( dancing girl ) ) ) ) ) ) ) ( is sound ) ) 	2.7	225
ENTAILMENT	 ( ( An ( elder man ) ) ( ( sitting:is_sitting_on_a_bench and ) ( is ( wearing ( ( ( a ( gray jacket ) ) and ) ( black pants ) ) ) ) ) ) 	 ( ( An ( elderly man ) ) sitting:is_sitting_on_a_bench ) 	4.5	9571
NEUTRAL	 ( man:A_man ( is ( ( laying down ) guitar:a_guitar ) ) ) 	 ( man:A_man ( is ( playing guitar:a_guitar ) ) ) 	3.3	2996
NEUTRAL	 ( ( A boy ) ( is ( holding ( ( a hose ) ( ( next ( to ( ( ( a man ) and ) ( another boy ) ) ) ) ( is watching ) ) ) ) ) ) 	 ( ( A child ) ( ( ( is ( watching ( someone ( playing outdoors ) ) ) ) and ) ( is ( ( spouting water ) ( over ( ( the rest ) ( of ( his family ) ) ) ) ) ) ) ) 	3	7533
ENTAILMENT	 ( man:The_man ( is ( speaking the:on_the_telephone ) ) ) 	 ( man:The_man ( is ( talking the:on_the_telephone ) ) ) 	4.9	5030
ENTAILMENT	 ( ( ( A group ) ( of people ) ) ( are ( standing ( around ( a ( sound ( mixing table ) ) ) ) ) ) ) 	 ( ( Some people ) ( is ( looking ( at ( sound equipment ) ) ) ) ) 	3.5	8727
ENTAILMENT	 ( ( A horse ) ( is ( being ( ridden ( by ( a woman ) ) ) ) ) ) 	 ( ( A woman ) ( is ( riding ( a horse ) ) ) ) 	5	4983
ENTAILMENT	 ( ( A boy ) ( is ( ( filling ( a pitcher ) ) water:with_water ) ) ) 	 ( ( A pitcher ) ( is ( being ( ( filled water:with_water ) ( by ( a boy ) ) ) ) ) ) 	5	3657
NEUTRAL	 ( dog:A_dog ( is ( in ( sand:the_sand ( that ( is ( blowing ( in air:the_air ) ) ) ) ) ) ) ) 	 ( dog:A_dog ( is ( in ( ( ( a ( sandy area ) ) ( with ( sand:the_sand ( that ( is ( being ( ( stirred up ) ( into ( ( air:the_air and ) ( several plants ) ) ) ) ) ) ) ) ) ) ( are ( in ( the background ) ) ) ) ) ) ) 	4.1	9424
NEUTRAL	 ( white:A_white_dog ( is ( standing fallen:on_fallen_leaves ) ) ) 	 ( white:A_white_dog ( is ( lying fallen:on_fallen_leaves ) ) ) 	3.8	7007
ENTAILMENT	 ( ( A person ) ( is ( playing ( a and:guitar_and_singing ) ) ) ) 	 ( ( One person ) ( is ( playing ( the and:guitar_and_singing ) ) ) ) 	4.9	1964
NEUTRAL	 ( ( ( The woman ) ( wearing ( ( ( ( ( silver pants ) , ) ( pink bellbottoms ) ) and ) ( a ( pink scarf ) ) ) ) ) ( is ( riding ( a bike ) ) ) ) 	 ( ( A ( pedestrian woman ) ) ( is ( building ( ( pink bicycles ) ( for ( boa ( wearing riders ) ) ) ) ) ) ) 	2.4	526
NEUTRAL	 ( woman:A_woman ( is ( rocking ( over ( blanket:a_blanket ( ( lying ( on someone ) ) a:reading_a_book ) ) ) ) ) ) 	 ( ( woman:A_woman ( on ( a rock ) ) ) ( is ( ( ( lying ( on blanket:a_blanket ) ) and ) a:reading_a_book ) ) ) 	2.7	2726
NEUTRAL	 ( ( The cop ) ( is ( sitting ( on ( a ( police bike ) ) ) ) ) ) 	 ( ( The animal ) ( is ( grazing ( on ( the grass ) ) ) ) ) 	1	9963
NEUTRAL	 ( ( A ( practicing jumper ) ) ( is ( ( tossing ( ( a ( person 's ) ) snowboard ) ) ( into ( the air ) ) ) ) ) 	 ( ( Two people ) ( are ( riding ( a bike ) ) ) ) 	2	9822
ENTAILMENT	 ( dog:A_dog ( is ( jumping a:on_a_trampoline ) ) ) 	 ( dog:A_dog ( is ( bouncing a:on_a_trampoline ) ) ) 	4.7	4135
ENTAILMENT	 ( ( A ( large flute ) ) ( is ( being ( played ( by ( a man ) ) ) ) ) ) 	 ( ( A man ) ( is ( playing ( a flute ) ) ) ) 	4.3	5349
ENTAILMENT	 ( man:A_man ( is ( playing ( an ( electric guitar ) ) ) ) ) 	 ( man:A_man ( is ( playing guitar ) ) ) 	4.9	1493
NEUTRAL	 ( ( ( The picture ) ( of ( ( a camera ) ( set up ) ) ) ) ( is ( being ( taken ( by ( ( a man ) ( on ( ( the beach ) ( at ( the sunset ) ) ) ) ) ) ) ) ) ) 	 ( ( A man ) ( is ( taking ( pictures ( of ( a lake ) ) ) ) ) ) 	3	2157
NEUTRAL	 ( ( A ( white dog ) ) ( is ( ( approaching ( a ( golden dog ) ) ) ( on ( pebbly beach ) ) ) ) ) 	 ( ( Two dogs ) ( are ( playing ( on ( a ( rocky beach ) ) ) ) ) ) 	2.9	9036
ENTAILMENT	 ( woman:A_woman ( is ( slicing potato:a_potato ) ) ) 	 ( woman:A_woman ( is ( cutting potato:a_potato ) ) ) 	4.8	4661
ENTAILMENT	 ( ( A bear:panda_bear ) ( is ( eating ( some bamboo ) ) ) ) 	 ( ( Some bamboo ) ( is ( being ( eaten ( by ( a bear:panda_bear ) ) ) ) ) ) 	4.8	3384
NEUTRAL	 ( man:A_man ( is ( reloading shotgun:a_shotgun ) ) ) 	 ( man:A_man ( is ( firing shotgun:a_shotgun ) ) ) 	3.7	5706
NEUTRAL	 ( big:A_big_green_ball ( is ( missing potato:a_potato ) ) ) 	 ( big:A_big_green_ball ( is ( knocking potato:a_potato ) ) ) 	3.3	2965
NEUTRAL	 ( ( The turtle ) ( is ( following ( the fish ) ) ) ) 	 ( ( A fish ) ( is ( hunting ( for ( ( a turtle ) ( in ( the sea ) ) ) ) ) ) ) 	3.5	1137
ENTAILMENT	 ( tennis:A_tennis_player ( is ( jumping the:to_the_left ) ) ) 	 ( tennis:A_tennis_player ( is ( lunging the:to_the_left ) ) ) 	4.4	7795
ENTAILMENT	 ( ( young:A_young_girl ( in ( a ( blue leotard ) ) ) ) jumping:is_jumping_in_the_air ) 	 ( ( young:A_young_girl ( in ( ( a leotard ) ( colored ( in blue ) ) ) ) ) jumping:is_jumping_in_the_air ) 	5	7546
NEUTRAL	 ( ( A ( yellow dog ) ) ( is ( chasing ( a ball ) ) ) ) 	 ( ( A dog ) ( is ( ( ( turning ( on ( the grass ) ) ) and ) ( pursuing ( a ( flying ( tennis ball ) ) ) ) ) ) ) 	4.4	9188
NEUTRAL	 ( ( A man ) wearing:is_wearing_a_blue_shirt_and_walking_barefoot_on_a_tennis_court ) 	 ( ( A woman ) wearing:is_wearing_a_blue_shirt_and_walking_barefoot_on_a_tennis_court ) 	3.6	9623
ENTAILMENT	 ( man:A_man ( ( is hurriedly ) ( getting ( into ( car:a_car ( in ( a garage ) ) ) ) ) ) ) 	 ( man:A_man ( is ( getting ( into car:a_car ) ) ) ) 	4.1	2678
ENTAILMENT	 ( ( The cat ) ( is ( playing ( passionately a:with_a_watermelon ) ) ) ) 	 ( ( A cat ) ( is ( playing a:with_a_watermelon ) ) ) 	4.5	2286
NEUTRAL	 ( man:A_man ( is ( standing ( on ( boat:a_boat ( in ( front ( of ( sunset:the_sunset a:near_a_flag ) ) ) ) ) ) ) ) ) 	 ( man:A_man ( is ( sitting ( on ( boat:a_boat ( in ( ( ( font ( of sunset:the_sunset ) ) , ) a:near_a_flag ) ) ) ) ) ) ) 	3.8	6213
NEUTRAL	 ( ( ( The man ) ( in blue ) ) ( is ( ( posing ( for ( a picture ) ) ) ( next ( to ( a vehicle ) ) ) ) ) ) 	 ( ( A man ) ( is ( standing ( at ( ( the wheel ) ( of ( ( a ( classic ( American car ) ) ) ( that ( has ( its ( door ( and ( trunk open ) ) ) ) ) ) ) ) ) ) ) ) ) 	3.2	9242
ENTAILMENT	 ( ( The lady ) penciling:is_penciling_on_eyeshadow ) 	 ( ( The woman ) penciling:is_penciling_on_eyeshadow ) 	5	2829
NEUTRAL	 ( biker:A_biker ( is ( wearing ( gear ( which ( is black ) ) ) ) ) ) 	 ( ( biker:A_biker ( wearing black ) ) ( is ( breaking ( the gears ) ) ) ) 	3.1	530
ENTAILMENT	 ( band:A_band ( is ( playing ( on ( a stage ) ) ) ) ) 	 ( band:A_band ( is ( playing onstage ) ) ) 	5	1266
ENTAILMENT	 ( ( ( ( A ( big dog:brown_dog ) ) and ) small:a_small_grey_dog ) standing:are_standing_on_a_rocky_surface ) 	 ( ( ( ( A ( large dog:brown_dog ) ) and ) small:a_small_grey_dog ) standing:are_standing_on_a_rocky_surface ) 	4.8	6756
ENTAILMENT	 ( girl:A_girl ( is ( rope:skipping_rope ( on ( a sidewalk ) ) ) ) ) 	 ( girl:A_girl ( is ( rope:skipping_rope ( on ( near ( a street ) ) ) ) ) ) 	4.3	8786
ENTAILMENT	 ( ( ( ( A horse ) and ) ( its rider ) ) ( are ( leaping ( over ( a barrier ) ) ) ) ) 	 ( ( A hurdle ) ( is ( being ( leapt ( by ( ( a horse ) ( that ( has ( ( a rider ) ( on ( its back ) ) ) ) ) ) ) ) ) ) ) 	4.5	6634
