%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( ( person:A_person ( on ( a ( black motorbike ) ) ) ) ( is ( ( doing tricks ) ( with ( a jacket ) ) ) ) ) 	 ( person:A_person ( is ( riding ( ( the bicycle ) ( on ( one wheel ) ) ) ) ) ) 	3.4	28
ENTAILMENT	 ( ( ( A man ) ( with jersey:a_jersey ) ) ( is ( ( dunking ( the ball ) ) a:at_a_basketball_game ) ) ) 	 ( ( The ball ) ( is ( being ( dunked ( by ( ( a man ) ( with ( jersey:a_jersey a:at_a_basketball_game ) ) ) ) ) ) ) ) 	4.9	30
NEUTRAL	 ( ( man:A_man ( with ( a jersey ) ) ) ( is ( ( dunking ( the ball ) ) ( at ( a ( basketball game ) ) ) ) ) ) 	 ( ( man:A_man ( who ( is ( ( playing ( dunks ( the basketball ) ) ) ( into ( ( ( the net ) and ) ( a crowd ) ) ) ) ) ) ) ( is ( in background ) ) ) 	3.6	35
NEUTRAL	 ( ( The player ) ( is ( ( dunking ( the basketball ) ) ( into ( ( ( the net ) and ) ( ( a crowd ) ( is ( in background ) ) ) ) ) ) ) ) 	 ( ( ( A man ) ( with ( a jersey ) ) ) ( is ( ( dunking ( the ball ) ) ( at ( a ( basketball game ) ) ) ) ) ) 	3.8	40
CONTRADICTION	 ( people:Two_people_are_kickboxing_and ( spectators ( ( are not ) watching ) ) ) 	 ( people:Two_people_are_kickboxing_and ( spectators ( are watching ) ) ) 	3.4	42
ENTAILMENT	 ( ( Two ( young women ) ) ( are ( sparring ( in ( a ( kickboxing fight ) ) ) ) ) ) 	 ( ( Two women ) ( are ( sparring ( in ( a ( kickboxing match ) ) ) ) ) ) 	4.9	44
NEUTRAL	 ( ( Two ( young women ) ) ( ( are not ) ( sparring ( in ( a ( kickboxing fight ) ) ) ) ) ) 	 ( ( Two women ) ( are ( sparring ( in ( a ( kickboxing match ) ) ) ) ) ) 	3.9	45
NEUTRAL	 ( ( ( ( Two people ) ( are kickboxing ) ) and ) ( spectators ( are watching ) ) ) 	 ( ( Two ( young women ) ) ( ( are not ) ( sparring ( in ( a ( kickboxing fight ) ) ) ) ) ) 	3.415	47
NEUTRAL	 ( ( Two women ) ( are ( sparring ( in ( a ( kickboxing match ) ) ) ) ) ) 	 ( ( ( ( Two people ) ( are kickboxing ) ) and ) ( spectators ( ( are not ) watching ) ) ) 	3.7	49
ENTAILMENT	 ( ( Three boys ) jumping:are_jumping_in_the_leaves ) 	 ( ( Three kids ) jumping:are_jumping_in_the_leaves ) 	4.4	55
NEUTRAL	 ( kids:Three_kids ( are ( sitting the:in_the_leaves ) ) ) 	 ( kids:Three_kids ( are ( jumping the:in_the_leaves ) ) ) 	3.8	56
NEUTRAL	 ( ( Children ( in ( red shirts ) ) ) ( are ( playing the:in_the_leaves ) ) ) 	 ( ( Three kids ) ( are ( sitting the:in_the_leaves ) ) ) 	3.5	58
NEUTRAL	 ( ( Children ( in ( red shirts ) ) ) ( are ( playing the:in_the_leaves ) ) ) 	 ( ( Three kids ) ( are ( jumping the:in_the_leaves ) ) ) 	4	62
NEUTRAL	 ( ( Two angels ) ( are ( ( making snow ) ( on ( the ( lying children ) ) ) ) ) ) 	 ( ( Two children ) ( ( ( are ( lying ( in ( the snow ) ) ) ) and ) ( are ( making ( snow angels ) ) ) ) ) 	2.9	65
NEUTRAL	 ( ( Two children ) ( ( ( are in:lying_in_the_snow ) and ) ( are ( drawing angels ) ) ) ) 	 ( ( ( Two people ) ( in snowsuits ) ) ( are ( ( in:lying_in_the_snow and ) ( making ( snow angels ) ) ) ) ) 	4.1	70
NEUTRAL	 ( ( ( Two people ) ( in snowsuits ) ) ( are ( ( ( lying ( in ( the snow ) ) ) and ) ( making ( snow angels ) ) ) ) ) 	 ( ( Two angels ) ( are ( ( making snow ) ( on ( the ( lying children ) ) ) ) ) ) 	2.5	72
NEUTRAL	 ( ( Two children ) ( ( ( are in:lying_in_the_snow ) and ) ( are snow:making_snow_angels ) ) ) 	 ( ( ( Two people ) ( in snowsuits ) ) ( are ( ( in:lying_in_the_snow and ) snow:making_snow_angels ) ) ) 	4.2	73
ENTAILMENT	 ( ( People ( wearing costumes ) ) ( ( ( are ( gathering a:in_a_forest ) ) and ) ( are ( looking ( in same:the_same_direction ) ) ) ) ) 	 ( ( Masked people ) ( are ( looking ( in ( same:the_same_direction a:in_a_forest ) ) ) ) ) 	4.4	77
NEUTRAL	 ( wearing:People_wearing_costumes ( ( ( are ( gathering a:in_a_forest ) ) and ) ( are ( looking ( in ( the ( same direction ) ) ) ) ) ) ) 	 ( wearing:People_wearing_costumes ( ( ( are ( scattering a:in_a_forest ) ) and ) ( are ( looking ( in ( different directions ) ) ) ) ) ) 	3.2	78
NEUTRAL	 ( People ( are ( looking ( at ( ( some costumes ) ( gathered ( in ( ( the vicinity ) ( of ( the forest ) ) ) ) ) ) ) ) ) ) 	 ( ( People ( wearing costumes ) ) ( ( ( are ( gathering ( in ( a forest ) ) ) ) and ) ( are ( looking ( in ( the ( same direction ) ) ) ) ) ) ) 	3.635	79
NEUTRAL	 ( ( A ( little girl ) ) ( is ( looking ( at ( ( a woman ) ( in costume ) ) ) ) ) ) 	 ( ( People ( wearing costumes ) ) ( ( ( are ( scattering ( in ( a forest ) ) ) ) and ) ( are ( looking ( in ( different directions ) ) ) ) ) ) 	2.4	81
NEUTRAL	 ( ( A ( little girl ) ) ( is ( looking ( at ( ( a woman ) ( in costume ) ) ) ) ) ) 	 ( People ( are ( looking ( at ( ( some costumes ) ( gathered ( in ( ( the vicinity ) ( of ( the forest ) ) ) ) ) ) ) ) ) ) 	2.6	82
NEUTRAL	 ( ( A ( young girl ) ) ( is ( looking ( at ( ( a woman ) ( in costume ) ) ) ) ) ) 	 ( ( People ( wearing costumes ) ) ( ( ( are ( gathering ( in ( a forest ) ) ) ) and ) ( are ( looking ( in ( the ( same direction ) ) ) ) ) ) ) 	2.2	83
NEUTRAL	 ( ( People ( wearing costumes ) ) ( ( ( are ( gathering ( in ( a forest ) ) ) ) and ) ( are ( looking ( in ( the ( same direction ) ) ) ) ) ) ) 	 ( ( The ( little girl ) ) ( is ( looking ( at ( ( a man ) ( in costume ) ) ) ) ) ) 	3	84
NEUTRAL	 ( ( People ( wearing costumes ) ) ( ( ( are ( gathering ( in ( a forest ) ) ) ) and ) ( are ( looking ( in ( the ( same direction ) ) ) ) ) ) ) 	 ( ( ( A ( little girl ) ) ( in costume ) ) ( looks ( like ( a woman ) ) ) ) 	2	85
ENTAILMENT	 ( ( A ( lone biker ) ) ( is in:jumping_in_the_air ) ) 	 ( ( A biker ) ( is ( ( in:jumping_in_the_air , ) alone ) ) ) 	5	87
CONTRADICTION	 ( There ( is ( ( no biker ) in:jumping_in_the_air ) ) ) 	 ( ( A ( lone biker ) ) ( is in:jumping_in_the_air ) ) 	4.2	88
CONTRADICTION	 ( man:A_man ( is ( jumping ( into ( an ( empty pool ) ) ) ) ) ) 	 ( man:A_man ( is ( jumping ( into ( a ( full pool ) ) ) ) ) ) 	3	90
NEUTRAL	 ( ( A man ) ( is ( jumping ( into ( an pool:empty_pool ) ) ) ) ) 	 ( ( ( The ( man 's ) ) jumper ) ( is ( in ( the pool:empty_pool ) ) ) ) 	3.1	91
NEUTRAL	 ( ( A ( lone biker ) ) ( is ( jumping ( in ( the air ) ) ) ) ) 	 ( ( A man ) ( is ( jumping ( into ( a ( full pool ) ) ) ) ) ) 	1.7	93
NEUTRAL	 ( ( ( The ( man 's ) ) jumper ) ( is ( in ( the ( empty pool ) ) ) ) ) 	 ( ( A ( lone biker ) ) ( is ( jumping ( in ( the air ) ) ) ) ) 	1.4	94
NEUTRAL	 ( ( A ( lone biker ) ) ( is ( jumping ( in ( the air ) ) ) ) ) 	 ( ( A man ) ( is ( jumping ( into ( an ( empty pool ) ) ) ) ) ) 	1.5	97
ENTAILMENT	 ( ( Four kids ) doing:are_doing_backbends_in_the_park ) 	 ( ( Four children ) doing:are_doing_backbends_in_the_park ) 	4.8	98
NEUTRAL	 ( children:Four_children ( are ( doing ( backbends ( in ( the gym ) ) ) ) ) ) 	 ( children:Four_children ( are ( doing ( backbends ( in ( the park ) ) ) ) ) ) 	3.8	99
ENTAILMENT	 ( girls:Four_girls ( are ( backbends:doing_backbends_and ( playing ( in ( the garden ) ) ) ) ) ) 	 ( girls:Four_girls ( are ( backbends:doing_backbends_and ( playing outdoors ) ) ) ) 	4.1	100
ENTAILMENT	 ( ( ( A man ) ( who ( is playing ) ) ) ( is ( running ( with ( ball:the_ball ( in ( his hands ) ) ) ) ) ) ) 	 ( ( A player ) ( is ( running ( with ball:the_ball ) ) ) ) 	4.3	107
NEUTRAL	 ( ( ( Two groups ) ( of people ) ) ( are ( playing football ) ) ) 	 ( ( A player ) ( is ( running ( with ( the ball ) ) ) ) ) 	2.1	112
NEUTRAL	 ( ( Two teams ) ( are ( competing ( in ( a ( baseball game ) ) ) ) ) ) 	 ( ( A player ) ( is ( running ( with ( the ball ) ) ) ) ) 	3	113
NEUTRAL	 ( ( A player ) ( is ( running ( with ( the ball ) ) ) ) ) 	 ( ( Two teams ) ( are ( competing ( in ( a ( football match ) ) ) ) ) ) 	2.6	117
NEUTRAL	 ( ( Five ( wooden stands ) ) ( are ( in ( front ( of ( ( each ( child 's ) ) hut ) ) ) ) ) ) 	 ( ( Five children ) ( are ( standing ( in ( front ( of ( a ( wooden hut ) ) ) ) ) ) ) ) 	3.2	120
CONTRADICTION	 ( kids:Five_kids_are_standing_close_together_and ( ( one kid ) a:has_a_gun ) ) 	 ( ( kids:Five_kids_are_standing_close_together_and ( none ( of ( the kids ) ) ) ) a:has_a_gun ) 	3.7	122
NEUTRAL	 ( ( ( ( ( Five kids ) ( are ( standing ( close together ) ) ) ) and ) ( none ( of ( the kids ) ) ) ) ( has ( a gun ) ) ) 	 ( ( Five children ) ( are ( standing ( in ( front ( of ( a ( wooden hut ) ) ) ) ) ) ) ) 	2.6	124
NEUTRAL	 ( ( Five children ) ( are ( standing ( in ( a ( wooden hut ) ) ) ) ) ) 	 ( ( ( ( Five kids ) ( are ( standing ( close together ) ) ) ) and ) ( ( one kid ) ( has ( a gun ) ) ) ) 	2.7	126
NEUTRAL	 ( ( Five ( wooden stands ) ) ( are ( in ( front ( of ( ( each ( child 's ) ) hut ) ) ) ) ) ) 	 ( ( ( ( Five kids ) ( are ( standing ( close together ) ) ) ) and ) ( ( one kid ) ( has ( a gun ) ) ) ) 	2.3	127
ENTAILMENT	 ( ( An ( old man ) ) sitting:is_sitting_in_a_field ) 	 ( ( A man ) sitting:is_sitting_in_a_field ) 	4.4	129
NEUTRAL	 ( man:A_man ( is ( sitting a:in_a_field ) ) ) 	 ( man:A_man ( is ( running a:in_a_field ) ) ) 	2.6	130
NEUTRAL	 ( person:A_person ( ( wearing:is_wearing_a_hat and ) ( is ( sitting ( on ( the grass ) ) ) ) ) ) 	 ( person:A_person ( ( ( is ( sitting ( in ( a field ) ) ) ) and ) wearing:is_wearing_a_hat ) ) 	4.1	131
NEUTRAL	 ( person:A_person ( is ( ( ( sitting and ) wearing ) ( a ( grass hat ) ) ) ) ) 	 ( person:A_person ( ( ( is ( wearing ( a hat ) ) ) and ) ( is ( sitting ( on ( the grass ) ) ) ) ) ) 	3.4	133
NEUTRAL	 ( ( A person ) ( is ( ( ( sitting and ) wearing ) ( a ( grass hat ) ) ) ) ) 	 ( ( A man ) ( is ( sitting ( in ( a field ) ) ) ) ) 	3.3	136
NEUTRAL	 ( ( A man ) ( is ( sitting ( in ( a field ) ) ) ) ) 	 ( ( A person ) ( ( ( is ( wearing ( a hat ) ) ) and ) ( is ( sitting ( on ( the grass ) ) ) ) ) ) 	3.8	139
ENTAILMENT	 ( ( The current ) ( is ( being ( ridden ( by ( ( a group ) ( of ( friends a:in_a_raft ) ) ) ) ) ) ) ) 	 ( ( ( A group ) ( of friends ) ) ( are ( ( riding ( the current ) ) a:in_a_raft ) ) ) 	4.9	140
CONTRADICTION	 ( ( group:A_group ( of friends ) ) ( are the:riding_the_current_in_a_raft ) ) 	 ( group:A_group ( ( is not ) the:riding_the_current_in_a_raft ) ) 	3.7	141
NEUTRAL	 ( ( The current ) ( is ( being ( ridden ( by ( ( a group ) ( of ( friends ( in ( a raft ) ) ) ) ) ) ) ) ) ) 	 ( ( ( This group ) ( of people ) ) ( is ( ( ( practicing ( water safety ) ) and ) ( wearing preservers ) ) ) ) 	3.2	146
NEUTRAL	 ( ( ( A group ) ( of friends ) ) ( are ( ( riding ( the current ) ) ( in ( a raft ) ) ) ) ) 	 ( ( ( This group ) ( of people ) ) ( is ( ( ( practicing ( water safety ) ) and ) ( wearing preservers ) ) ) ) 	3.1	148
CONTRADICTION	 ( deer:A_deer ( is ( jumping ( over ( a fence ) ) ) ) ) 	 ( deer:A_deer ( ( is n't ) ( jumping ( over ( the fence ) ) ) ) ) 	3.9	150
NEUTRAL	 ( People ( are ( walking ( inside building:a_building_that_has_many_murals_on_it ) ) ) ) 	 ( People ( are ( walking ( outside building:a_building_that_has_many_murals_on_it ) ) ) ) 	3.4	159
CONTRADICTION	 ( ( Several people ) ( are ( in ( front ( of ( a building:colorful_building ) ) ) ) ) ) 	 ( Nobody ( is ( in ( front ( of ( the building:colorful_building ) ) ) ) ) ) 	3.5	161
NEUTRAL	 ( People ( are ( walking ( outside ( ( a building ) ( that ( has ( ( many murals ) ( on it ) ) ) ) ) ) ) ) ) 	 ( Nobody ( is ( in ( front ( of ( the ( colorful building ) ) ) ) ) ) ) 	3.6	163
ENTAILMENT	 ( People ( are ( walking ( outside ( ( the building ) ( that ( has ( ( several murals ) ( on it ) ) ) ) ) ) ) ) ) 	 ( ( Several people ) ( are ( in ( front ( of ( a ( colorful building ) ) ) ) ) ) ) 	3.6	164
NEUTRAL	 ( family:A_family ( is ( watching ( little:a_little_boy ( who ( is ( hitting baseball:a_baseball ) ) ) ) ) ) ) 	 ( family:A_family ( is ( watching ( little:a_little_boy ( who ( is ( missing baseball:a_baseball ) ) ) ) ) ) ) 	3.9	170
NEUTRAL	 ( ( A child ) ( is ( hitting baseball:a_baseball ) ) ) 	 ( ( A family ) ( is ( watching ( ( a ( little boy ) ) ( who ( is ( missing baseball:a_baseball ) ) ) ) ) ) ) 	3.015	173
NEUTRAL	 ( ( A child ) ( is ( missing baseball:a_baseball ) ) ) 	 ( ( A family ) ( is ( watching ( ( a ( little boy ) ) ( who ( is ( hitting baseball:a_baseball ) ) ) ) ) ) ) 	2.7	176
NEUTRAL	 ( ( ( A ( purple crowd ) ) ( of people ) ) ( is ( eating ( on ( various ( red ( lit ( restaurant tables ) ) ) ) ) ) ) ) 	 ( ( Various people ) ( are ( eating ( at ( ( red tables ) ( in ( ( a ( crowded restaurant ) ) ( with ( purple lights ) ) ) ) ) ) ) ) ) 	3.3	183
NEUTRAL	 ( ( ( A ( large group ) ) ( of ( Asian people ) ) ) ( is ( eating ( at ( a restaurant ) ) ) ) ) 	 ( ( Various customers ) ( are ( eating ( in ( ( a ( crowded restaurant ) ) ( with ( purple lights ) ) ) ) ) ) ) 	2.9	184
NEUTRAL	 ( ( ( A ( purple crowd ) ) ( of people ) ) ( is ( eating ( on ( various ( red ( lit ( restaurant tables ) ) ) ) ) ) ) ) 	 ( ( ( A ( large group ) ) ( of ( Asian people ) ) ) ( is ( eating ( at ( a restaurant ) ) ) ) ) 	3.1	186
NEUTRAL	 ( ( Various people ) ( are ( eating ( at ( ( red tables ) ( in ( ( a ( crowded restaurant ) ) ( with ( purple lights ) ) ) ) ) ) ) ) ) 	 ( ( ( A ( small group ) ) ( of people ) ) ( is ( waiting ( to ( eat ( in ( a restaurant ) ) ) ) ) ) ) 	3.2	188
CONTRADICTION	 ( ( A rider:motorcycle_rider ) ( is ( up:standing_up ( on ( seat:the_seat ( of ( a ( white motorcycle ) ) ) ) ) ) ) ) 	 ( ( No rider:motorcycle_rider ) ( is ( up:standing_up ( on ( seat:the_seat ( of ( a motorcycle ) ) ) ) ) ) ) 	3.8	192
CONTRADICTION	 ( Nobody ( ( ( is ( on ( a motorcycle ) ) ) and ) standing:is_standing_on_the_seat ) ) 	 ( Someone ( ( ( is ( on ( a ( black ( and ( white motorcycle ) ) ) ) ) ) and ) standing:is_standing_on_the_seat ) ) 	3.7	194
ENTAILMENT	 ( motorcyclist:A_motorcyclist ( is ( ( riding ( motorbike:a_motorbike dangerously ) ) a:along_a_roadway ) ) ) 	 ( motorcyclist:A_motorcyclist ( is ( riding ( motorbike:a_motorbike a:along_a_roadway ) ) ) ) 	4.6	200
CONTRADICTION	 ( There ( is ( ( no motorcyclist ) a:riding_a_motorbike_along_a_roadway ) ) ) 	 ( ( A motorcyclist ) ( is a:riding_a_motorbike_along_a_roadway ) ) 	3.7	201
ENTAILMENT	 ( ( ( A man ) ( with ( ( a helmet ) ( painted red ) ) ) ) riding:is_riding_a_blue_motorcycle_down_the_road ) 	 ( ( ( A motorcyclist ) ( with ( a ( red helmet ) ) ) ) riding:is_riding_a_blue_motorcycle_down_the_road ) 	4.8	202
NEUTRAL	 ( ( motorcyclist:A_motorcyclist ( without ( a helmet ) ) ) ( is ( waiting ( on ( ( a ( blue motorcycle ) ) ( near ( the road ) ) ) ) ) ) ) 	 ( motorcyclist:A_motorcyclist ( is ( riding ( ( a motorbike ) ( along ( a roadway ) ) ) ) ) ) 	3.3	205
NEUTRAL	 ( ( Two dogs ) ( are ( playing ( by ( a tree ) ) ) ) ) 	 ( ( A dog ) ( is ( catching ( ( ( a stick ) ( in ( ( ( the air ) and ) another ) ) ) ( is watching ) ) ) ) ) 	3.7	215
NEUTRAL	 ( ( Two dogs ) ( are ( playing ( by ( a tree ) ) ) ) ) 	 ( There ( is ( ( no dog ) ( leaping ( in ( the air ) ) ) ) ) ) 	2.7	216
NEUTRAL	 ( ( Two dogs ) ( are ( playing ( by ( a tree ) ) ) ) ) 	 ( ( ( ( A dog ) ( is ( leaping ( high ( in ( the air ) ) ) ) ) ) and ) ( another ( is watching ) ) ) 	3	217
NEUTRAL	 ( ( ( A girl ) ( in white ) ) ( is dancing ) ) 	 ( ( The dancer ) ( is ( dancing ( in ( front ( of ( the ( sound equipment ) ) ) ) ) ) ) ) 	4	223
NEUTRAL	 ( ( ( A girl ) ( in white ) ) ( is dancing ) ) 	 ( ( The ( blond girl ) ) ( is ( dancing ( behind ( the ( sound equipment ) ) ) ) ) ) 	3.3	224
NEUTRAL	 ( ( A girl ) ( ( ( is ( wearing ( white clothes ) ) ) and ) ( is dancing ) ) ) 	 ( ( The ( blond girl ) ) ( is ( dancing ( in ( front ( of ( the ( sound equipment ) ) ) ) ) ) ) ) 	3.5	226
NEUTRAL	 ( ( The ( blond girl ) ) ( is ( dancing ( in ( front ( of ( the ( sound equipment ) ) ) ) ) ) ) ) 	 ( There ( is ( ( no girl ) ( in ( white dancing ) ) ) ) ) 	3.3	227
CONTRADICTION	 ( Asian:Three_Asian_kids_are_dancing_and ( ( a man ) ( is looking ) ) ) 	 ( Asian:Three_Asian_kids_are_dancing_and ( there ( is ( ( no man ) looking ) ) ) ) 	3.9	232
NEUTRAL	 ( ( ( ( Three ( Asian kids ) ) ( are dancing ) ) and ) ( ( a man ) ( is looking ) ) ) 	 ( ( An ( Asian man ) ) ( is ( ( ( dancing and ) ( three kids ) ) ( are looking ) ) ) ) 	3.7	233
NEUTRAL	 ( ( ( The children ) ( of ( a family ) ) ) ( are ( ( playing and ) waiting ) ) ) 	 ( ( ( ( Three ( Asian kids ) ) ( are dancing ) ) and ) ( ( a ( serious man ) ) ( is looking ) ) ) 	1.9	234
NEUTRAL	 ( ( ( The children ) ( of ( a family ) ) ) ( ( are patiently ) ( ( playing and ) waiting ) ) ) 	 ( ( ( ( Three ( Asian kids ) ) ( are dancing ) ) and ) ( ( a man ) ( is looking ) ) ) 	2.3	237
NEUTRAL	 ( There ( are ( ( no children ) ( ( playing and ) waiting ) ) ) ) 	 ( ( ( ( Three ( Asian kids ) ) ( are dancing ) ) and ) ( ( a man ) ( is looking ) ) ) 	1.6	238
ENTAILMENT	 ( woman:A_woman ( is ( ( wearing ( an ( Egyptian hat ) ) ) ( on ( her head ) ) ) ) ) 	 ( woman:A_woman ( is ( wearing ( an ( Egyptian headdress ) ) ) ) ) 	4.3	240
NEUTRAL	 ( woman:A_woman ( is ( wearing ( an ( Egyptian headdress ) ) ) ) ) 	 ( woman:A_woman ( is ( wearing ( an ( Indian headdress ) ) ) ) ) 	4	241
NEUTRAL	 ( ( The ( black woman ) ) ( is ( wearing ( glasses ( over ( the headdress ) ) ) ) ) ) 	 ( ( A woman ) ( is ( wearing ( an ( Egyptian headdress ) ) ) ) ) 	3.6	248
NEUTRAL	 ( ( A woman ) ( is ( ( wearing ( an ( Egyptian hat ) ) ) ( on ( her head ) ) ) ) ) 	 ( ( The woman ) ( is ( wearing ( ( glasses and ) ( a ( black headdress ) ) ) ) ) ) 	2.5	249
CONTRADICTION	 ( ( A hiker ) ( ( ( is top:on_top_of_the_mountain ) and ) ( is dancing ) ) ) 	 ( There ( is ( ( no ( hiker dancing ) ) top:on_top_of_the_mountain ) ) ) 	3.2	254
CONTRADICTION	 ( There ( ( is ( ( ( no man ) ( on ( a rock ) ) ) ( high some:above_some_trees ) ) ) in:standing_in_a_strange_position ) ) 	 ( ( A man ) ( ( ( is ( on ( ( a ( rock high ) ) some:above_some_trees ) ) ) and ) ( is in:standing_in_a_strange_position ) ) ) 	4.3	256
NEUTRAL	 ( ( A hiker ) ( ( ( is ( on ( top ( of ( the mountain ) ) ) ) ) and ) ( is dancing ) ) ) 	 ( ( A man ) ( ( ( is ( on ( ( a ( rock high ) ) ( above ( some trees ) ) ) ) ) and ) ( is ( standing ( in ( an ( uncomfortable position ) ) ) ) ) ) ) 	2.5	257
NEUTRAL	 ( ( A hiker ) ( ( ( is ( on ( top ( of ( the mountain ) ) ) ) ) and ) ( is dancing ) ) ) 	 ( There ( ( is ( ( ( no man ) ( on ( a rock ) ) ) ( high ( above ( some trees ) ) ) ) ) ( standing ( in ( a ( strange position ) ) ) ) ) ) 	2.5	258
NEUTRAL	 ( ( A man ) ( ( ( is ( on ( ( a ( rock high ) ) ( above ( some trees ) ) ) ) ) and ) ( is ( standing ( in ( a ( strange position ) ) ) ) ) ) ) 	 ( ( A hiker ) ( ( ( is ( on ( top ( of ( the mountain ) ) ) ) ) and ) ( is ( doing ( a ( joyful dance ) ) ) ) ) ) 	2.9	259
NEUTRAL	 ( There ( is ( ( no ( hiker dancing ) ) ( on ( top ( of ( the mountain ) ) ) ) ) ) ) 	 ( ( A man ) ( ( ( is ( on ( ( a ( rock high ) ) ( above ( some trees ) ) ) ) ) and ) ( is ( standing ( in ( a ( strange position ) ) ) ) ) ) ) 	2.4	260
ENTAILMENT	 ( brown:The_brown_horse ( ( is ( very near ) ) red:a_red_barrel_at_the_rodeo ) ) 	 ( brown:The_brown_horse ( is ( near red:a_red_barrel_at_the_rodeo ) ) ) 	4.8	265
CONTRADICTION	 ( brown:The_brown_horse ( is ( near ( red:a_red_barrel the:at_the_rodeo ) ) ) ) 	 ( brown:The_brown_horse ( ( is ( far ( from red:a_red_barrel ) ) ) the:at_the_rodeo ) ) 	3.6	266
NEUTRAL	 ( ( A cowgirl ) ( ( ( is ( riding ( a horse:brown_horse ) ) ) and ) ( is ( cornering ( a barrel ) ) ) ) ) 	 ( ( The horse:brown_horse ) ( is ( near ( ( a ( red barrel ) ) ( at ( the rodeo ) ) ) ) ) ) 	3.2	269
NEUTRAL	 ( ( A cowgirl ) ( is ( riding ( ( ( a horse ) and ) ( corners ( a barrel ) ) ) ) ) ) 	 ( ( The ( brown horse ) ) ( is ( near ( ( a ( red barrel ) ) ( at ( the rodeo ) ) ) ) ) ) 	3.8	272
ENTAILMENT	 ( boy:A_boy ( is ( standing ( in ( the ( cold water ) ) ) ) ) ) 	 ( boy:A_boy ( is ( standing ( in ( the water ) ) ) ) ) 	4.1	273
CONTRADICTION	 ( boy:The_boy ( is ( sitting ( near blue:the_blue_ocean ) ) ) ) 	 ( boy:The_boy ( is ( wading ( through blue:the_blue_ocean ) ) ) ) 	3.2	276
NEUTRAL	 ( ( A boy ) ( is ( standing ( in ( the water ) ) ) ) ) 	 ( ( The kid ) ( is ( swimming ( through ( the ( blue ocean ) ) ) ) ) ) 	3	277
NEUTRAL	 ( ( The boy ) ( is ( wading ( through ( the ( blue ocean ) ) ) ) ) ) 	 ( ( A boy ) ( is ( standing ( in ( the ( cold water ) ) ) ) ) ) 	3.3	279
CONTRADICTION	 ( ( A man ) ( is a:playing_a_guitar_on_stage ) ) 	 ( There ( is ( ( no man ) a:playing_a_guitar_on_stage ) ) ) 	3.6	283
